N,MB,min,avgMin,avg,avgMax,max
1,0.0,274.8,394.6,419.6,467.2,499.4
2,76.0,405.0,418.0,450.3,487.3,505.5
3,152.0,393.2,420.5,447.5,469.0,492.3
4,228.0,416.5,426.3,451.0,479.7,489.7
5,304.0,407.9,421.5,455.1,485.7,498.4
6,380.0,403.1,417.0,448.4,479.8,508.5
7,456.0,390.9,413.8,454.7,482.2,516.4
8,532.0,400.8,411.4,447.7,487.2,511.7
9,608.0,409.7,422.4,452.7,483.0,505.1
10,684.0,410.0,422.3,452.9,486.8,504.5
11,760.0,403.2,420.4,455.8,487.4,502.4
12,836.0,406.9,416.2,450.0,480.7,503.3
13,912.0,392.5,414.4,454.0,482.7,515.8
14,988.0,143.7,368.8,430.6,536.4,746.0
15,1064.0,380.9,410.8,476.7,493.8,707.3
16,1140.0,405.4,409.8,438.6,468.4,499.4
17,1216.0,399.3,407.9,447.1,483.0,499.8
18,1292.0,405.5,412.2,449.8,492.9,506.6
19,1368.0,405.6,413.9,455.9,492.0,505.7
20,1444.0,411.4,419.5,455.9,494.8,506.9
21,1520.0,386.7,412.1,454.4,491.9,499.5
22,1596.0,402.7,409.8,451.6,497.5,507.8
23,1672.0,404.5,410.6,454.4,495.5,510.8
24,1748.0,404.1,418.1,452.9,493.3,506.5
25,1824.0,405.0,417.5,461.5,499.6,507.4
26,1900.0,408.8,414.9,451.9,492.0,506.9
27,1976.0,405.9,411.5,458.6,492.5,500.1
28,2052.0,411.6,419.2,451.9,493.7,503.3
29,2128.0,411.8,414.5,454.0,491.3,501.5
30,2204.0,407.8,412.4,454.4,500.3,511.4
31,2280.0,411.1,413.8,453.8,493.8,502.0
32,2356.0,397.5,419.2,452.1,499.5,506.5
33,2432.0,399.5,417.1,453.8,488.4,506.2
34,2508.0,402.1,416.6,453.6,494.0,509.9
35,2584.0,388.6,413.0,453.3,487.3,502.8
36,2660.0,389.0,411.8,450.5,497.5,510.2
37,2736.0,410.5,419.0,457.2,492.1,505.1
38,2812.0,401.8,418.0,448.5,491.7,500.1
39,2888.0,409.2,417.2,454.5,487.8,493.0
40,2964.0,393.3,416.9,447.8,487.8,501.6
41,3040.0,310.4,407.8,447.0,486.5,504.9
42,3116.0,410.3,417.4,453.0,491.6,501.4
43,3192.0,410.3,421.6,459.7,495.4,508.5
44,3268.0,377.1,418.9,446.5,484.8,512.4
45,3344.0,392.0,412.6,454.1,493.2,507.9
46,3420.0,406.9,422.0,449.3,481.0,496.1
47,3496.0,401.5,422.2,457.6,486.0,503.8
48,3572.0,408.1,425.2,451.5,485.0,500.5
49,3648.0,424.2,427.7,459.1,485.5,499.1
50,3724.0,412.6,420.6,446.4,473.5,491.0
51,3800.0,393.3,422.3,453.8,485.4,491.3
52,3876.0,394.1,416.7,445.5,478.5,491.1
53,3952.0,407.7,423.0,451.8,487.0,495.7
54,4028.0,325.9,412.7,441.4,473.6,486.8
55,4104.0,389.1,411.9,445.0,486.5,496.1
56,4180.0,409.0,416.7,450.2,485.3,499.5
57,4256.0,343.5,415.2,447.9,484.2,492.5
58,4332.0,390.8,421.2,456.7,490.7,509.7
59,4408.0,398.2,422.7,457.1,481.7,507.5
60,4484.0,387.5,414.7,452.3,492.5,505.4
61,4560.0,393.0,421.7,455.6,485.7,501.2
62,4636.0,402.0,427.2,454.0,489.6,509.6
63,4712.0,395.4,423.0,455.4,486.0,503.0
64,4788.0,396.7,419.7,451.1,484.6,490.4
65,4864.0,405.6,421.6,457.9,494.2,510.0
66,4940.0,403.2,421.1,452.9,486.7,499.3
67,5016.0,393.7,420.8,456.0,485.8,504.1
68,5092.0,338.1,416.5,449.3,480.8,505.5
69,5168.0,378.8,419.4,456.5,484.0,506.4
70,5244.0,397.5,419.0,451.2,484.1,503.2
71,5320.0,390.1,416.9,453.6,488.8,500.4
72,5396.0,403.9,416.9,448.1,485.7,496.0
73,5472.0,313.6,409.1,462.9,512.8,783.1
74,5548.0,410.0,424.1,454.6,487.8,497.8
75,5624.0,395.3,421.7,454.9,484.4,495.2
76,5700.0,409.6,419.3,451.6,489.2,499.5
77,5776.0,403.6,421.7,455.8,484.1,512.8
78,5852.0,403.8,424.7,449.3,477.4,497.4
79,5928.0,406.3,416.6,455.7,491.4,510.7
80,6004.0,414.6,423.9,451.0,480.8,503.4
81,6080.0,332.7,418.4,458.0,494.0,513.4
82,6156.0,400.7,424.7,456.3,492.5,501.7
83,6232.0,403.2,424.3,453.6,485.6,494.4
84,6308.0,404.0,422.8,453.3,492.0,515.0
85,6384.0,388.3,410.0,452.7,494.4,524.8
86,6460.0,355.8,419.4,448.7,494.1,574.5
87,6536.0,407.6,421.2,458.2,492.4,507.2
88,6612.0,392.2,416.5,451.5,488.1,505.9
89,6688.0,413.4,425.3,457.5,481.5,500.5
90,6764.0,403.8,422.4,449.3,480.8,488.8
91,6840.0,390.6,420.3,453.3,485.3,503.0
92,6916.0,404.9,424.8,456.1,492.9,505.4
93,6992.0,414.7,427.8,457.9,487.0,507.2
94,7068.0,399.7,426.6,455.6,493.3,502.3
95,7144.0,329.6,405.8,442.7,475.5,503.2
96,7220.0,401.1,418.3,446.6,479.7,491.4
97,7296.0,412.7,424.6,456.6,481.7,498.5
98,7372.0,404.3,414.2,450.8,489.0,503.1
99,7448.0,205.4,452.0,501.3,942.5,1200.2
100,7524.0,416.9,421.9,446.0,470.2,493.7
101,7600.0,405.3,426.8,457.9,493.2,502.4
102,7676.0,390.6,413.9,448.9,486.4,497.9
103,7752.0,384.5,418.6,451.6,485.3,505.2
104,7828.0,397.3,421.1,459.2,497.4,520.0
105,7904.0,400.3,418.9,444.1,482.3,498.6
106,7980.0,413.0,426.6,451.9,479.6,493.9
107,8056.0,402.9,422.4,460.8,495.3,504.0
108,8132.0,333.1,410.5,443.8,474.1,489.3
109,8208.0,387.6,419.7,454.4,482.6,493.0
110,8284.0,397.5,420.6,449.1,483.2,498.6
111,8360.0,405.5,422.3,456.1,490.8,506.3
112,8436.0,404.5,424.0,455.7,492.2,508.7
113,8512.0,401.4,426.2,457.7,486.4,507.7
114,8588.0,408.6,425.6,450.5,480.0,507.8
115,8664.0,403.1,418.9,459.0,496.5,518.1
116,8740.0,402.0,420.8,448.7,481.9,497.1
117,8816.0,410.7,422.8,455.4,481.3,493.4
118,8892.0,393.3,419.3,451.3,485.1,499.2
119,8968.0,392.7,419.6,457.8,488.1,501.7
120,9044.0,406.3,414.2,449.8,486.5,502.5
121,9120.0,399.4,415.0,450.4,487.2,502.4
122,9196.0,333.2,411.9,443.9,479.7,495.5
123,9272.0,402.3,416.9,450.4,480.4,488.9
124,9348.0,401.1,415.3,453.7,492.4,506.3
125,9424.0,419.3,424.9,457.8,486.0,498.0
126,9500.0,401.2,416.5,447.8,484.4,504.5
127,9576.0,412.7,420.4,453.6,486.8,498.4
128,9652.0,422.3,430.0,454.7,482.5,508.6
129,9728.0,401.9,418.5,455.6,491.3,511.1
130,9804.0,400.7,420.6,450.3,481.6,495.8
131,9880.0,400.8,419.1,460.7,495.6,516.5
132,9956.0,406.6,420.0,454.3,491.2,503.9
133,10032.0,357.1,420.9,440.9,484.7,504.8
134,10108.0,396.4,424.1,456.9,491.8,511.5
135,10184.0,336.5,405.1,444.5,482.6,506.5
136,10260.0,395.5,417.2,450.0,483.8,512.2
137,10336.0,414.1,423.4,454.2,477.2,498.3
