N,MB,min,avgMin,avg,avgMax,max
1,0.0,85.9,126.3,138.8,172.3,187.7
2,76.0,89.3,128.8,141.8,169.4,179.3
3,152.0,88.7,121.3,142.7,159.8,163.6
4,228.0,111.4,149.6,170.6,184.1,193.1
5,304.0,105.9,136.6,167.9,171.7,174.6
6,380.0,110.5,157.3,177.0,182.2,184.5
7,456.0,113.8,127.9,177.7,183.8,186.9
8,532.0,109.3,111.6,171.0,182.5,186.4
9,608.0,88.7,120.7,161.5,174.2,185.6
10,684.0,112.1,112.1,179.4,185.2,191.8
11,760.0,109.3,109.3,180.1,184.5,190.3
12,836.0,113.2,130.2,146.1,172.8,189.2
13,912.0,82.1,117.1,135.6,165.3,184.7
14,988.0,111.0,157.8,178.2,184.2,189.8
15,1064.0,112.5,146.7,181.3,185.2,187.9
16,1140.0,89.7,125.0,136.6,185.8,186.7
17,1216.0,98.8,132.7,150.1,168.9,181.1
18,1292.0,84.5,124.9,136.8,179.9,187.1
19,1368.0,87.6,124.6,133.9,150.9,156.3
20,1444.0,104.3,125.6,152.4,176.9,186.4
21,1520.0,83.2,97.8,124.0,128.8,130.9
22,1596.0,88.6,106.9,123.1,128.3,130.2
23,1672.0,74.7,115.0,129.8,144.4,148.3
24,1748.0,88.7,104.6,125.6,128.4,129.5
25,1824.0,99.5,144.4,163.2,177.4,185.4
26,1900.0,72.2,93.6,163.1,176.8,184.5
27,1976.0,112.9,168.3,182.7,188.1,191.5
28,2052.0,71.8,97.1,137.6,172.3,189.9
29,2128.0,111.3,111.3,173.3,184.6,191.6
30,2204.0,110.9,148.8,162.2,184.3,189.2
31,2280.0,108.0,129.9,151.1,170.0,174.0
32,2356.0,2.0,2.0,119.1,131.2,133.3
33,2432.0,104.9,141.0,160.2,171.5,174.3
34,2508.0,111.1,158.0,177.7,184.8,192.5
35,2584.0,2.0,118.9,142.5,184.2,185.1
36,2660.0,95.6,121.4,144.0,170.1,176.0
37,2736.0,2.0,2.0,122.1,128.7,131.8
38,2812.0,88.0,107.4,127.0,129.3,130.9
39,2888.0,93.3,104.0,121.4,138.7,170.6
40,2964.0,2.0,2.0,121.2,129.8,133.9
41,3040.0,73.1,83.2,125.8,174.7,182.1
42,3116.0,2.0,121.9,147.1,167.3,193.3
43,3192.0,97.9,117.0,158.5,168.5,172.2
44,3268.0,2.0,120.1,130.3,169.7,170.1
45,3344.0,101.3,125.7,145.5,171.9,191.0
46,3420.0,109.1,137.1,175.1,180.1,191.6
47,3496.0,2.0,121.0,135.7,178.9,182.8
48,3572.0,87.9,88.3,123.6,127.4,130.9
49,3648.0,2.0,113.1,131.0,149.2,152.6
50,3724.0,88.9,123.3,129.2,136.9,148.8
51,3800.0,109.7,142.6,176.6,187.0,200.5
52,3876.0,2.0,118.8,136.7,187.8,190.2
53,3952.0,88.8,120.6,129.9,144.4,147.6
54,4028.0,2.0,115.7,131.9,158.2,173.7
55,4104.0,85.6,124.3,135.9,179.4,182.9
56,4180.0,111.9,147.7,183.6,187.6,190.0
57,4256.0,1.9,120.9,134.3,184.9,190.0
58,4332.0,2.0,107.3,115.1,129.8,161.3
59,4408.0,109.6,126.7,151.8,174.2,183.9
60,4484.0,2.0,120.5,134.0,168.9,183.7
61,4560.0,88.5,107.5,128.2,131.0,136.3
62,4636.0,88.9,125.4,140.7,165.8,167.4
63,4712.0,2.0,120.4,141.7,166.0,170.1
64,4788.0,103.0,125.4,152.6,164.9,168.5
65,4864.0,2.0,55.2,122.3,130.1,131.9
66,4940.0,102.2,127.2,146.3,179.5,200.5
67,5016.0,110.3,122.1,164.1,177.1,188.0
68,5092.0,87.3,103.7,126.1,128.6,130.6
69,5168.0,87.4,106.3,126.4,128.6,130.7
70,5244.0,2.0,2.0,122.5,130.0,133.5
71,5320.0,89.6,105.8,125.7,129.4,133.4
72,5396.0,96.5,113.6,140.0,163.9,183.9
73,5472.0,87.1,125.2,140.1,156.0,157.7
74,5548.0,99.1,125.1,153.9,157.0,163.1
75,5624.0,2.0,98.4,147.9,162.2,165.8
76,5700.0,104.2,104.2,159.6,162.9,166.7
77,5776.0,2.0,78.5,151.6,163.1,167.1
78,5852.0,101.4,116.6,149.7,156.7,159.6
