N,MB,min,avgMin,avg,avgMax,max
1,0.0,276.9,407.3,434.3,490.9,642.8
2,76.0,422.8,430.9,444.5,462.3,488.9
3,152.0,382.7,425.0,442.6,466.1,476.0
4,228.0,376.6,420.8,440.5,462.1,471.4
5,304.0,399.5,421.5,446.6,468.2,516.8
6,380.0,387.2,422.2,439.0,468.2,501.0
7,456.0,343.1,422.6,437.6,466.4,522.2
8,532.0,396.5,421.5,441.5,464.8,483.3
9,608.0,398.1,425.2,446.8,466.7,472.4
10,684.0,398.4,424.0,442.2,465.0,473.4
11,760.0,393.0,413.2,442.6,469.5,512.5
12,836.0,378.2,411.6,438.7,491.1,524.7
13,912.0,385.8,418.2,441.1,467.0,484.9
14,988.0,294.3,388.3,429.9,462.8,495.3
15,1064.0,394.7,420.0,442.5,459.8,473.4
16,1140.0,398.0,425.3,441.9,462.3,474.0
17,1216.0,391.5,412.3,434.2,461.3,482.8
18,1292.0,375.2,412.4,455.6,482.6,601.7
19,1368.0,386.3,421.4,439.6,467.7,485.2
20,1444.0,402.2,421.3,438.7,462.7,486.4
21,1520.0,409.8,423.4,445.8,467.9,480.0
22,1596.0,418.2,428.0,440.1,456.1,472.6
23,1672.0,355.6,416.8,446.1,473.9,560.9
24,1748.0,337.4,419.7,451.4,493.8,663.4
25,1824.0,417.3,426.2,445.0,461.1,472.4
26,1900.0,395.9,428.6,442.3,463.3,502.1
27,1976.0,418.7,416.9,441.2,453.4,465.2
28,2052.0,359.3,403.0,449.4,513.2,688.2
29,2128.0,358.5,422.0,449.2,483.7,578.7
30,2204.0,382.5,412.1,449.3,486.5,610.0
31,2280.0,350.5,419.2,452.5,496.6,678.3
32,2356.0,392.0,422.9,443.9,462.6,495.7
33,2432.0,394.1,428.1,445.4,462.8,471.6
34,2508.0,416.7,429.3,444.0,457.9,470.9
35,2584.0,339.6,414.2,455.7,509.8,747.6
36,2660.0,383.6,424.9,440.6,465.3,491.8
37,2736.0,401.8,420.1,444.4,471.5,494.8
38,2812.0,363.9,398.7,443.9,517.9,559.7
39,2888.0,346.5,377.4,455.0,541.3,619.1
40,2964.0,319.3,364.6,473.9,577.9,704.6
41,3040.0,267.2,376.6,447.1,563.7,815.0
42,3116.0,393.7,419.1,444.6,465.4,502.4
43,3192.0,391.6,426.3,443.7,462.8,476.9
44,3268.0,299.6,404.8,443.8,485.7,559.2
45,3344.0,363.1,419.0,451.4,503.0,669.4
46,3420.0,340.8,415.5,444.9,481.8,556.0
