N,MB,min,avgMin,avg,avgMax,max
1,0.0,99.6,178.5,227.6,243.0,249.0
2,76.0,102.1,165.2,236.0,244.5,249.1
3,152.0,99.8,142.9,233.6,244.2,249.3
4,228.0,94.4,168.9,203.9,237.4,251.0
5,304.0,94.0,188.2,236.5,246.0,249.3
6,380.0,100.1,100.1,237.1,246.5,250.0
7,456.0,94.1,174.0,233.7,245.4,250.5
8,532.0,93.2,165.9,217.7,234.8,251.0
9,608.0,99.4,166.7,235.2,243.2,252.5
10,684.0,94.1,182.9,215.6,237.2,252.2
11,760.0,94.3,183.6,231.8,243.5,251.2
12,836.0,91.8,95.1,226.7,242.4,248.9
13,912.0,97.8,97.8,231.5,243.0,250.5
14,988.0,92.8,156.0,233.2,243.3,248.8
15,1064.0,101.4,189.6,235.9,243.7,248.7
16,1140.0,95.5,95.5,235.9,243.8,249.4
17,1216.0,95.7,157.1,216.3,244.9,252.4
18,1292.0,89.1,147.6,225.0,233.5,239.9
19,1368.0,97.9,186.8,232.7,243.0,249.6
20,1444.0,96.2,166.7,237.3,245.9,250.2
21,1520.0,25.1,143.1,213.1,239.3,249.7
22,1596.0,100.8,163.0,232.0,243.1,248.1
23,1672.0,97.6,165.9,237.0,245.1,249.9
24,1748.0,93.3,193.3,234.3,244.8,248.1
25,1824.0,94.6,138.4,227.0,243.0,249.5
26,1900.0,96.6,186.5,236.6,247.3,253.4
27,1976.0,94.1,163.2,234.3,241.9,246.7
28,2052.0,98.3,185.2,236.3,246.6,255.0
29,2128.0,94.5,169.2,225.3,239.6,249.0
30,2204.0,99.8,155.1,219.6,243.0,250.1
31,2280.0,97.0,97.0,235.5,243.6,248.4
32,2356.0,92.0,159.3,234.7,243.4,247.9
33,2432.0,96.5,96.5,236.0,243.8,247.3
34,2508.0,90.6,160.6,190.7,219.7,226.9
35,2584.0,98.2,173.8,227.6,241.2,246.3
36,2660.0,94.6,185.7,235.3,243.9,251.1
37,2736.0,98.3,98.3,235.8,244.0,249.8
38,2812.0,91.5,135.8,225.5,242.8,246.7
39,2888.0,96.4,186.8,235.2,244.7,250.9
40,2964.0,92.7,164.8,237.0,245.2,250.3
