N,MB,min,avgMin,avg,avgMax,max
1,0.0,688.8,1144.5,1301.0,1582.6,1944.1
2,76.0,1014.9,1135.9,1360.8,1617.9,1764.2
3,152.0,1107.1,1177.8,1366.7,1617.2,1812.4
4,228.0,997.3,1163.3,1375.5,1648.6,1779.7
5,304.0,1033.3,1190.5,1391.9,1617.5,1732.0
6,380.0,1094.1,1189.8,1359.1,1594.0,1688.5
7,456.0,1035.4,1191.2,1367.4,1571.2,1833.0
8,532.0,884.8,1109.1,1448.9,1825.0,2429.2
9,608.0,1065.2,1160.4,1351.1,1579.6,1726.2
10,684.0,1089.4,1194.1,1408.5,1681.8,1992.3
11,760.0,1068.3,1185.0,1408.2,1682.7,1821.1
12,836.0,1049.2,1196.2,1340.0,1496.1,1640.4
13,912.0,1133.8,1198.0,1386.9,1547.4,1642.4
14,988.0,736.5,1180.1,1373.7,1651.0,1775.7
15,1064.0,1056.7,1136.5,1320.1,1454.7,1616.6
16,1140.0,1117.8,1224.2,1383.9,1608.0,1693.2
17,1216.0,371.1,819.6,1218.3,1600.3,2254.9
18,1292.0,708.9,733.4,811.5,893.2,928.6
19,1368.0,703.1,725.5,811.0,888.3,935.3
20,1444.0,701.4,721.8,789.4,863.1,932.2
21,1520.0,246.7,726.4,913.5,1524.4,1942.5
22,1596.0,679.2,710.8,798.8,863.7,943.6
23,1672.0,668.6,704.3,781.7,891.2,987.6
24,1748.0,677.8,706.5,804.9,884.7,948.9
25,1824.0,680.3,718.3,784.1,874.1,949.6
26,1900.0,659.8,698.1,792.0,888.4,988.9
27,1976.0,624.0,689.4,792.8,879.8,1005.8
28,2052.0,510.2,686.1,770.7,872.2,886.4
29,2128.0,667.5,704.4,798.1,886.9,975.5
30,2204.0,678.4,700.2,775.5,860.1,906.4
31,2280.0,673.7,702.8,801.2,882.0,937.7
32,2356.0,679.5,699.0,768.5,839.5,903.2
33,2432.0,671.3,699.4,779.9,870.5,938.5
34,2508.0,697.3,715.8,782.1,861.2,925.7
35,2584.0,699.6,727.9,798.1,855.5,888.1
36,2660.0,662.4,707.4,794.3,890.8,964.6
