N,MB,min,avgMin,avg,avgMax,max
1,0.0,514.5,632.4,695.9,740.1,789.1
2,76.0,549.3,609.4,667.5,716.1,764.9
3,152.0,334.7,622.4,688.4,720.9,763.7
4,228.0,526.1,611.2,686.6,714.6,731.6
5,304.0,263.9,516.8,639.7,704.9,741.7
6,380.0,625.8,670.0,704.6,723.1,749.0
7,456.0,591.4,629.8,696.2,725.5,768.4
8,532.0,541.2,638.8,696.1,746.8,784.4
9,608.0,649.4,723.2,755.1,771.9,783.6
10,684.0,261.5,607.8,686.2,742.9,792.2
11,760.0,203.8,539.9,687.0,730.9,792.9
12,836.0,594.8,655.4,686.7,709.2,728.0
13,912.0,549.3,652.5,696.6,736.0,769.1
14,988.0,586.4,625.2,659.3,696.4,734.5
15,1064.0,226.7,501.2,674.0,708.6,741.1
16,1140.0,535.3,674.0,717.6,741.4,775.8
17,1216.0,499.4,630.3,685.7,719.9,759.4
18,1292.0,613.0,682.2,707.2,729.5,746.3
19,1368.0,573.3,625.1,670.3,691.5,708.0
20,1444.0,261.6,603.0,638.9,715.9,765.2
21,1520.0,665.4,692.3,707.8,728.3,755.0
22,1596.0,552.1,659.4,698.4,732.1,748.1
23,1672.0,627.9,643.7,708.8,732.7,776.4
24,1748.0,616.0,608.7,685.0,711.3,749.5
25,1824.0,621.8,667.5,685.7,705.4,738.1
26,1900.0,519.6,642.0,683.5,729.7,747.4
27,1976.0,635.8,671.5,714.9,738.7,773.3
28,2052.0,618.4,624.5,682.2,711.1,732.7
29,2128.0,571.8,588.9,669.0,708.4,733.6
30,2204.0,630.6,668.5,705.9,726.0,748.5
31,2280.0,519.9,633.4,706.0,753.4,794.0
32,2356.0,568.5,635.5,683.6,706.3,729.2
33,2432.0,652.5,678.4,702.5,730.1,751.9
34,2508.0,233.8,585.5,671.0,706.6,740.8
35,2584.0,517.1,635.9,697.6,738.7,762.0
36,2660.0,615.6,655.0,700.6,737.6,759.6
37,2736.0,643.9,655.9,706.2,737.9,774.3
38,2812.0,619.2,660.5,686.2,706.1,727.3
39,2888.0,344.2,587.4,679.7,711.0,748.3
40,2964.0,503.4,648.0,690.9,718.4,773.0
41,3040.0,660.1,676.6,703.8,718.6,740.8
42,3116.0,610.6,662.1,689.3,716.5,755.8
43,3192.0,638.8,678.5,707.5,727.2,777.2
44,3268.0,288.7,518.8,680.1,741.5,767.8
45,3344.0,662.7,693.7,739.1,762.4,804.0
46,3420.0,674.2,717.3,742.2,764.4,780.8
47,3496.0,597.9,668.0,714.6,749.6,777.1
48,3572.0,610.6,694.8,731.8,760.7,794.8
49,3648.0,230.5,489.2,698.7,757.1,785.8
50,3724.0,622.2,707.0,749.1,774.7,804.6
51,3800.0,651.2,695.7,723.0,757.0,780.5
52,3876.0,641.0,683.4,710.6,741.2,777.8
53,3952.0,590.3,662.3,691.4,725.3,758.6
54,4028.0,283.2,584.1,688.3,735.7,791.7
55,4104.0,675.2,695.4,709.4,725.6,754.9
56,4180.0,430.3,615.4,678.0,715.5,771.4
57,4256.0,547.3,618.8,675.2,733.4,747.2
58,4332.0,553.4,642.3,693.2,739.1,761.3
59,4408.0,287.3,595.1,697.4,737.3,787.0
60,4484.0,628.4,673.2,704.1,737.6,763.5
61,4560.0,588.4,651.3,680.8,706.5,730.6
62,4636.0,557.9,640.3,699.9,726.5,757.8
63,4712.0,634.1,680.2,706.3,723.2,750.2
64,4788.0,233.9,592.0,681.3,728.5,758.1
65,4864.0,586.4,625.8,669.0,711.4,744.8
66,4940.0,600.7,640.3,709.8,729.8,760.2
67,5016.0,635.2,690.5,721.3,744.5,759.7
68,5092.0,467.1,614.8,679.3,714.5,741.5
69,5168.0,278.1,569.6,667.3,723.5,782.4
70,5244.0,4.1,4.7,513.9,698.4,737.7
71,5320.0,4.1,7.1,528.8,714.2,749.8
72,5396.0,579.0,649.6,702.9,735.7,751.7
73,5472.0,208.5,517.9,647.5,687.7,740.6
74,5548.0,225.4,572.4,679.7,714.7,748.7
75,5624.0,654.3,688.9,712.3,729.5,748.1
76,5700.0,537.1,620.6,680.0,715.4,752.1
77,5776.0,645.7,678.7,713.9,744.4,801.6
78,5852.0,601.6,672.8,706.3,732.5,779.1
79,5928.0,288.2,532.4,661.8,717.0,749.5
80,6004.0,614.8,677.3,713.5,738.4,777.9
81,6080.0,540.3,699.9,711.8,752.9,776.5
82,6156.0,231.4,583.8,694.2,742.1,779.7
83,6232.0,695.5,712.4,731.8,757.7,781.1
84,6308.0,285.1,565.5,707.9,757.9,799.1
85,6384.0,527.2,633.8,704.8,747.1,795.0
86,6460.0,581.3,679.5,729.2,770.9,805.9
87,6536.0,623.0,708.9,737.2,764.8,806.8
88,6612.0,633.5,701.8,737.8,760.9,810.3
89,6688.0,285.7,496.0,700.7,738.1,766.0
90,6764.0,539.6,690.1,729.0,766.6,821.7
91,6840.0,528.6,639.0,710.8,746.6,773.8
92,6916.0,702.2,733.9,751.0,762.7,774.4
93,6992.0,681.4,709.0,739.3,757.4,774.6
94,7068.0,278.5,489.2,697.8,738.3,772.7
95,7144.0,567.0,688.7,734.5,768.5,797.4
96,7220.0,615.2,712.8,737.1,758.4,775.5
97,7296.0,644.3,697.1,720.3,743.4,782.2
98,7372.0,635.7,700.4,738.0,756.2,776.8
99,7448.0,283.1,501.0,697.2,755.7,806.2
100,7524.0,663.7,723.7,748.1,771.4,791.1
101,7600.0,617.0,674.2,707.4,740.9,776.5
102,7676.0,672.3,725.1,747.6,764.9,794.5
103,7752.0,615.1,671.6,728.9,759.5,785.2
104,7828.0,196.1,419.5,691.3,740.8,764.8
105,7904.0,623.4,681.3,721.7,747.5,800.1
106,7980.0,635.2,684.4,736.2,767.9,797.1
107,8056.0,559.3,642.1,727.9,755.9,776.8
108,8132.0,679.2,715.2,747.2,770.7,792.8
109,8208.0,128.6,503.3,685.8,750.6,798.9
110,8284.0,600.1,668.1,711.1,732.6,788.1
111,8360.0,650.3,709.3,735.0,761.7,806.7
112,8436.0,678.9,712.5,741.4,761.6,781.6
113,8512.0,557.4,692.0,740.4,771.1,806.9
114,8588.0,82.5,111.5,359.5,763.0,827.7
115,8664.0,72.0,84.7,94.5,102.1,111.2
116,8740.0,102.6,107.6,111.8,114.8,117.4
117,8816.0,79.2,98.8,103.2,106.8,112.9
118,8892.0,77.2,91.8,99.7,103.6,105.7
119,8968.0,61.7,85.3,95.6,101.3,103.1
120,9044.0,85.4,93.9,99.5,101.6,102.7
121,9120.0,73.2,88.2,97.9,101.1,102.2
122,9196.0,82.3,88.0,94.7,98.8,100.1
123,9272.0,55.5,74.7,79.1,82.6,88.6
124,9348.0,48.4,62.4,73.9,77.8,84.8
125,9424.0,80.8,84.0,94.5,102.4,105.7
126,9500.0,78.2,94.7,102.8,106.0,107.7
127,9576.0,76.6,94.7,101.9,104.4,105.6
128,9652.0,96.9,100.3,102.9,104.6,106.9
129,9728.0,59.5,76.3,96.2,102.9,106.4
130,9804.0,71.9,89.4,99.4,102.7,105.2
131,9880.0,86.0,95.5,100.1,102.9,104.6
132,9956.0,30.1,50.0,83.7,98.3,104.7
133,10032.0,25.0,39.4,61.0,85.9,92.6
134,10108.0,80.3,105.1,183.0,601.0,805.7
135,10184.0,72.0,85.6,97.0,104.2,114.7
136,10260.0,82.5,100.9,110.4,114.0,117.6
137,10336.0,81.8,90.8,99.3,102.5,113.0
138,10412.0,75.4,90.7,99.3,102.2,105.5
139,10488.0,61.1,84.4,93.7,98.2,100.5
140,10564.0,79.7,93.5,97.1,100.5,101.9
141,10640.0,73.6,90.0,96.6,100.0,101.3
142,10716.0,78.7,83.8,91.8,96.3,98.7
143,10792.0,69.3,74.9,77.1,78.2,85.9
144,10868.0,48.0,66.1,74.1,80.2,85.3
145,10944.0,72.3,82.4,95.5,103.2,107.2
146,11020.0,98.9,102.9,104.8,106.2,107.6
147,11096.0,74.2,90.4,102.1,104.2,105.6
148,11172.0,99.2,102.7,105.0,107.8,110.3
149,11248.0,50.5,80.1,95.4,101.7,105.4
150,11324.0,75.0,87.0,98.6,101.5,103.2
151,11400.0,97.1,96.0,101.6,103.0,104.6
152,11476.0,77.7,86.7,93.6,102.7,104.5
153,11552.0,23.1,35.2,65.0,99.7,92.0
154,11628.0,64.7,106.3,172.1,172.1,727.7
155,11704.0,91.2,99.5,102.8,109.4,112.4
156,11780.0,84.7,101.2,108.4,111.7,115.0
157,11856.0,94.1,97.6,102.4,103.7,106.2
158,11932.0,75.3,93.5,99.6,103.2,106.1
159,12008.0,61.8,85.6,96.5,101.4,102.6
160,12084.0,95.6,97.7,100.8,102.4,103.8
161,12160.0,75.0,89.0,97.5,100.2,103.1
162,12236.0,61.5,83.5,90.2,97.6,99.6
163,12312.0,72.0,73.3,76.9,78.7,79.4
164,12388.0,35.9,70.9,74.0,80.4,86.2
165,12464.0,75.6,88.9,98.4,103.6,106.2
166,12540.0,94.5,100.7,103.8,105.4,106.6
167,12616.0,75.4,94.0,103.2,106.8,110.0
168,12692.0,77.7,90.1,103.5,106.4,111.4
169,12768.0,97.2,99.7,102.5,104.0,106.1
170,12844.0,76.3,93.1,99.1,102.9,105.0
171,12920.0,76.7,92.0,100.2,103.9,105.2
172,12996.0,74.8,87.2,91.1,99.4,103.7
173,13072.0,23.0,66.1,136.3,734.8,741.3
174,13148.0,64.6,91.4,104.9,119.4,141.7
175,13224.0,96.3,102.1,107.8,115.1,117.8
176,13300.0,84.4,101.4,109.9,114.2,117.0
177,13376.0,86.2,90.8,101.6,103.5,105.1
178,13452.0,61.7,89.6,99.7,103.5,105.9
179,13528.0,74.2,88.0,98.6,101.1,103.1
180,13604.0,74.9,92.4,99.3,102.6,104.0
181,13680.0,89.8,96.0,99.8,101.4,103.8
182,13756.0,60.5,82.7,89.4,94.5,99.4
183,13832.0,45.9,63.2,75.2,79.2,81.7
184,13908.0,69.9,74.3,80.0,85.5,85.7
185,13984.0,76.7,94.0,102.2,105.3,108.0
186,14060.0,94.8,100.3,103.8,106.2,107.4
187,14136.0,77.9,92.4,102.1,106.1,109.8
188,14212.0,64.6,89.0,99.5,104.7,110.5
189,14288.0,88.2,92.5,102.1,104.8,106.3
190,14364.0,87.0,94.2,100.4,103.5,107.6
191,14440.0,76.4,94.5,101.1,103.8,105.7
192,14516.0,74.7,82.1,88.7,92.1,105.1
193,14592.0,23.6,54.2,118.6,263.7,756.1
194,14668.0,64.3,87.2,97.3,102.3,118.3
195,14744.0,99.2,100.1,107.0,112.3,115.6
