N,MB,min,avgMin,avg,avgMax,max
1,0.0,298.9,708.1,1072.3,1409.5,1483.3
2,76.0,1107.2,1149.8,1281.9,1384.0,1436.9
3,152.0,857.8,1048.8,1271.0,1417.3,1494.9
4,228.0,1112.1,1143.0,1265.1,1379.5,1427.8
5,304.0,899.2,1136.1,1227.8,1383.8,1428.2
6,380.0,757.6,903.8,1262.5,1408.5,1505.6
7,456.0,858.4,999.2,1327.2,1411.2,1500.0
8,532.0,861.4,987.5,1325.0,1418.3,1496.4
9,608.0,472.6,740.0,1283.3,1431.8,1500.8
10,684.0,678.8,692.0,786.8,873.8,893.5
11,760.0,685.4,701.1,785.6,878.1,887.6
12,836.0,678.4,697.0,793.6,876.2,896.8
13,912.0,691.1,673.3,783.2,878.6,892.4
14,988.0,366.2,606.2,756.2,901.3,1171.7
15,1064.0,326.3,554.4,736.5,908.7,1080.1
16,1140.0,354.3,636.0,735.1,888.2,899.4
17,1216.0,654.6,662.8,774.6,875.8,895.3
18,1292.0,371.9,602.5,730.8,864.4,891.3
19,1368.0,503.9,640.4,764.4,874.7,892.3
20,1444.0,658.8,662.8,767.1,883.5,898.2
21,1520.0,656.4,662.2,771.8,871.9,893.6
22,1596.0,648.2,660.9,761.7,876.6,890.6
23,1672.0,635.7,659.5,772.4,870.1,892.0
24,1748.0,637.0,659.1,760.6,876.0,891.6
25,1824.0,419.4,636.3,764.7,872.3,898.8
26,1900.0,409.1,635.9,723.4,870.9,912.1
27,1976.0,655.0,635.6,783.3,883.6,909.0
28,2052.0,397.7,612.9,733.2,912.7,1165.7
29,2128.0,534.1,659.7,777.1,911.0,1217.9
30,2204.0,666.1,678.0,785.6,883.8,908.0
31,2280.0,657.6,671.6,771.3,880.8,893.6
32,2356.0,113.0,580.9,730.5,863.8,881.5
33,2432.0,624.8,662.0,761.9,873.0,896.5
34,2508.0,642.5,666.7,772.0,877.9,889.8
35,2584.0,638.7,656.7,758.2,877.1,886.4
36,2660.0,646.2,664.9,773.8,870.2,890.7
37,2736.0,651.3,667.6,765.6,877.0,890.2
38,2812.0,655.1,674.6,779.6,874.1,886.6
39,2888.0,652.5,674.3,773.4,886.1,904.9
40,2964.0,637.0,666.8,780.6,883.1,901.0
41,3040.0,383.0,592.4,725.1,916.6,1287.3
42,3116.0,651.9,665.6,759.1,862.1,872.1
43,3192.0,664.6,675.5,782.2,879.4,892.6
44,3268.0,654.5,666.6,769.9,885.3,897.0
45,3344.0,551.2,656.3,791.2,916.0,1184.0
46,3420.0,668.6,673.1,764.3,866.5,893.8
47,3496.0,663.0,669.5,775.6,872.5,884.4
48,3572.0,660.7,668.3,764.1,868.9,894.7
49,3648.0,653.9,682.4,786.4,880.3,898.4
50,3724.0,657.4,668.6,769.2,875.0,888.0
51,3800.0,646.9,668.6,774.6,874.2,893.8
52,3876.0,645.7,661.4,766.4,879.9,903.1
53,3952.0,646.6,660.9,772.3,869.5,893.9
54,4028.0,318.8,607.3,737.2,862.2,905.2
55,4104.0,425.8,621.2,749.5,979.0,1496.8
56,4180.0,654.5,665.9,778.6,879.6,898.6
57,4256.0,648.9,666.7,764.6,873.0,893.1
58,4332.0,669.8,674.2,780.2,875.0,887.2
59,4408.0,667.6,672.6,767.5,872.6,893.5
60,4484.0,662.1,670.5,776.5,876.4,888.8
61,4560.0,663.1,671.3,767.2,873.5,904.3
62,4636.0,656.4,670.3,773.2,868.7,896.6
63,4712.0,663.2,671.3,767.7,874.7,887.8
64,4788.0,656.5,671.7,780.3,872.8,912.5
65,4864.0,671.0,681.3,774.7,877.2,894.3
66,4940.0,671.0,677.5,773.5,863.8,916.4
67,5016.0,662.7,678.4,777.3,891.0,916.4
68,5092.0,399.1,665.8,774.5,868.7,928.4
69,5168.0,668.6,685.3,789.7,883.2,897.3
70,5244.0,686.8,692.3,787.3,893.6,914.8
71,5320.0,682.2,692.7,794.7,888.6,895.6
72,5396.0,680.1,689.8,780.9,882.4,923.0
73,5472.0,669.4,691.3,794.7,884.2,900.1
74,5548.0,657.5,670.7,775.2,884.1,897.2
75,5624.0,639.9,665.9,783.1,886.4,924.5
76,5700.0,656.0,667.3,765.9,873.1,893.1
77,5776.0,659.5,667.8,779.8,879.3,902.7
78,5852.0,387.1,633.8,754.8,882.1,904.4
79,5928.0,652.7,669.6,785.0,888.6,922.7
80,6004.0,377.6,631.9,754.3,884.9,934.2
81,6080.0,386.8,635.0,752.6,886.1,906.7
82,6156.0,510.8,652.3,756.5,865.2,909.3
83,6232.0,660.7,682.8,785.1,879.2,908.0
84,6308.0,670.9,698.1,779.9,872.2,908.6
85,6384.0,690.9,698.0,790.5,874.1,887.1
86,6460.0,660.3,681.4,778.0,879.9,893.4
87,6536.0,656.1,668.9,774.4,869.8,881.9
88,6612.0,409.1,595.0,879.2,1354.4,1482.0
89,6688.0,873.5,894.1,1329.8,1417.4,1486.4
90,6764.0,857.8,957.7,1320.5,1422.6,1497.6
91,6840.0,835.7,1054.0,1299.1,1411.3,1473.9
92,6916.0,827.3,1104.4,1264.5,1402.0,1472.8
93,6992.0,841.0,863.4,1323.7,1408.3,1492.3
94,7068.0,924.0,1111.8,1301.2,1379.8,1483.3
95,7144.0,646.6,997.7,1237.8,1359.0,1482.2
96,7220.0,806.4,1112.2,1340.8,1418.0,1487.0
97,7296.0,815.5,834.0,1331.0,1420.0,1488.5
98,7372.0,238.4,648.8,1298.1,1426.4,1488.5
99,7448.0,789.3,936.8,1313.6,1414.3,1493.5
100,7524.0,806.1,807.9,1285.7,1412.8,1498.6
101,7600.0,767.1,930.0,1322.4,1416.9,1494.4
102,7676.0,815.3,839.2,1277.1,1406.2,1490.3
103,7752.0,774.2,891.2,1274.9,1424.8,1492.9
104,7828.0,769.4,1007.1,1313.1,1425.1,1491.9
105,7904.0,773.6,864.1,1265.2,1404.8,1488.0
106,7980.0,781.6,818.3,1251.4,1398.3,1491.6
107,8056.0,961.0,1008.2,1253.2,1376.1,1492.0
108,8132.0,648.9,883.7,1249.4,1395.1,1463.2
109,8208.0,972.1,1068.6,1210.5,1327.6,1405.6
110,8284.0,998.8,1077.5,1195.3,1340.4,1411.3
111,8360.0,995.1,1048.3,1206.9,1341.2,1403.9
112,8436.0,1006.2,1040.5,1167.2,1314.8,1405.0
113,8512.0,1009.7,1055.0,1197.2,1345.5,1415.1
114,8588.0,1021.5,1065.8,1193.6,1319.3,1414.4
115,8664.0,1066.3,1090.5,1235.3,1381.7,1421.5
116,8740.0,849.8,1108.4,1233.4,1359.1,1487.3
117,8816.0,867.2,897.3,1360.5,1415.1,1485.3
118,8892.0,871.6,892.9,1334.3,1419.3,1499.1
