N,MB,min,avgMin,avg,avgMax,max
1,0.0,473.0,513.5,542.0,566.5,581.5
2,76.0,550.3,556.7,565.2,575.5,588.9
3,152.0,539.8,550.1,562.0,572.6,589.2
4,228.0,303.4,318.1,543.3,568.7,586.5
5,304.0,568.0,578.9,587.1,594.7,603.3
6,380.0,545.1,562.9,579.9,591.0,598.9
7,456.0,544.5,559.9,573.6,581.0,593.9
8,532.0,550.8,567.2,573.2,582.4,592.1
9,608.0,117.0,241.9,528.1,583.0,596.3
10,684.0,535.3,554.5,569.3,583.3,595.2
11,760.0,543.1,564.5,574.1,583.9,594.8
12,836.0,540.9,557.7,576.9,587.4,602.1
13,912.0,546.8,556.2,564.6,574.6,582.8
14,988.0,206.7,419.9,541.9,564.6,583.4
15,1064.0,540.1,563.4,573.5,580.8,585.2
16,1140.0,547.1,560.4,570.8,578.3,586.3
17,1216.0,560.6,571.1,579.7,589.2,594.6
18,1292.0,543.8,562.3,576.8,585.2,594.1
19,1368.0,251.6,282.5,487.5,581.5,601.2
20,1444.0,545.2,555.7,566.3,573.6,580.5
21,1520.0,544.3,554.0,564.0,572.0,584.8
22,1596.0,557.1,563.9,572.3,576.9,586.2
23,1672.0,296.1,477.1,555.0,576.4,590.4
24,1748.0,253.2,300.1,485.1,573.6,591.4
25,1824.0,429.0,527.9,541.4,560.5,576.0
26,1900.0,284.8,295.9,533.9,563.1,577.4
27,1976.0,294.7,420.9,518.9,551.0,571.2
28,2052.0,521.9,534.9,554.4,566.9,582.7
29,2128.0,205.3,312.4,466.4,569.5,575.4
30,2204.0,282.1,343.5,489.6,545.6,566.0
31,2280.0,486.4,496.4,511.4,518.7,523.3
32,2356.0,286.8,316.6,431.6,446.4,564.1
33,2432.0,283.7,319.2,414.2,451.7,497.9
34,2508.0,240.5,282.9,401.8,484.5,548.7
35,2584.0,543.9,553.5,557.0,561.4,575.1
36,2660.0,277.3,290.4,496.9,574.1,590.8
37,2736.0,562.7,574.7,580.9,589.0,603.0
38,2812.0,550.4,558.7,568.2,577.0,587.7
39,2888.0,246.3,288.0,528.3,570.7,590.3
40,2964.0,537.8,557.8,571.9,580.6,594.5
41,3040.0,512.9,547.9,565.3,585.0,603.7
42,3116.0,540.9,551.9,562.3,576.6,584.7
43,3192.0,535.5,555.4,574.8,590.4,608.9
44,3268.0,241.1,274.2,450.4,552.9,575.7
45,3344.0,545.1,555.9,564.6,575.0,588.7
46,3420.0,555.1,563.0,572.5,582.3,585.8
47,3496.0,549.0,570.6,576.9,587.6,605.8
48,3572.0,549.6,566.7,577.5,587.9,604.1
49,3648.0,251.3,276.7,488.6,583.8,610.6
50,3724.0,282.1,282.1,546.6,563.5,582.2
51,3800.0,540.0,553.6,560.6,571.8,583.0
52,3876.0,538.6,561.4,569.5,579.1,594.4
53,3952.0,558.1,562.7,575.4,585.1,597.6
54,4028.0,244.1,259.8,525.3,575.3,597.2
55,4104.0,531.7,556.4,571.0,584.9,603.2
56,4180.0,536.3,561.8,574.8,583.0,591.9
57,4256.0,554.2,564.1,573.8,580.2,593.2
58,4332.0,535.3,551.5,574.8,587.6,599.6
59,4408.0,243.3,274.1,452.2,557.1,578.8
60,4484.0,539.1,550.2,558.9,567.1,574.4
61,4560.0,547.1,558.4,568.2,575.9,584.1
62,4636.0,544.5,559.1,571.9,583.4,595.8
63,4712.0,285.9,463.7,556.3,574.5,591.7
64,4788.0,315.4,432.9,557.4,580.1,600.0
65,4864.0,544.6,556.8,563.0,570.7,576.0
66,4940.0,542.9,554.2,561.7,567.6,578.5
67,5016.0,552.2,560.5,568.8,576.7,581.7
68,5092.0,485.9,529.1,557.6,572.2,583.7
69,5168.0,132.7,362.5,516.5,555.4,582.4
70,5244.0,518.7,530.9,551.6,574.5,584.7
71,5320.0,554.8,569.8,574.8,582.5,588.5
72,5396.0,556.1,567.2,579.9,594.2,604.0
73,5472.0,541.8,556.7,573.1,585.3,600.4
74,5548.0,197.4,277.0,439.6,560.7,572.6
75,5624.0,549.3,557.8,568.8,577.5,587.6
76,5700.0,537.5,556.8,568.3,579.0,587.5
77,5776.0,294.7,460.1,549.0,565.3,586.4
78,5852.0,557.6,567.2,578.7,589.4,595.4
79,5928.0,73.6,183.4,288.1,526.0,600.0
80,6004.0,276.6,289.5,479.5,555.0,580.0
81,6080.0,536.7,548.8,562.7,578.7,601.6
82,6156.0,544.1,571.3,582.5,597.6,608.8
83,6232.0,76.5,93.1,441.9,566.5,588.5
84,6308.0,62.4,70.1,78.1,82.6,91.8
85,6384.0,76.6,81.8,86.1,89.6,96.5
86,6460.0,77.6,82.6,85.6,88.9,95.4
87,6536.0,73.1,79.0,81.6,85.1,96.4
88,6612.0,53.9,70.1,77.6,80.2,81.6
89,6688.0,18.7,33.8,55.2,79.3,81.6
90,6764.0,60.3,78.8,85.9,88.7,101.3
91,6840.0,71.6,81.7,84.4,85.8,92.5
92,6916.0,57.4,66.9,71.8,75.7,76.6
93,6992.0,44.3,61.2,66.2,68.7,70.2
94,7068.0,47.4,72.2,74.1,81.6,89.3
95,7144.0,80.0,86.2,89.8,93.3,97.1
96,7220.0,84.5,87.2,88.7,89.6,90.9
97,7296.0,80.0,85.6,88.5,90.2,92.5
98,7372.0,46.9,77.4,86.0,89.2,99.9
99,7448.0,83.8,86.1,87.8,89.2,90.1
100,7524.0,78.0,82.8,86.5,88.7,93.9
101,7600.0,72.9,82.0,87.6,91.8,105.9
102,7676.0,66.4,71.4,75.0,78.2,83.5
103,7752.0,37.4,75.9,102.0,163.0,273.8
104,7828.0,50.7,63.4,77.4,83.3,93.0
105,7904.0,83.9,86.8,90.0,91.7,94.8
106,7980.0,79.6,83.3,85.0,89.4,91.9
107,8056.0,71.5,79.1,81.3,83.2,84.1
108,8132.0,54.0,68.5,79.8,83.7,93.1
109,8208.0,76.5,79.8,81.4,82.8,87.9
110,8284.0,73.3,77.7,81.7,82.8,84.1
111,8360.0,70.8,74.1,80.0,82.5,87.9
112,8436.0,62.3,66.2,68.9,72.7,73.3
113,8512.0,43.4,56.4,62.5,64.4,67.0
114,8588.0,66.1,70.2,74.3,82.8,83.7
115,8664.0,80.1,82.1,84.1,86.0,87.9
116,8740.0,56.6,70.3,82.3,84.7,86.2
117,8816.0,20.3,29.6,54.2,86.9,95.1
118,8892.0,58.5,78.7,86.7,89.6,95.4
119,8968.0,66.8,84.6,85.9,88.9,90.9
120,9044.0,77.9,83.6,86.8,88.5,90.2
121,9120.0,76.0,79.7,86.1,89.9,95.0
122,9196.0,68.8,68.2,74.0,76.9,79.1
123,9272.0,40.8,79.1,99.8,166.0,275.6
124,9348.0,74.2,76.5,79.9,82.9,86.9
125,9424.0,85.5,89.5,91.7,92.8,95.5
126,9500.0,75.0,83.0,85.8,89.6,91.1
127,9576.0,79.8,82.9,85.1,87.3,91.4
128,9652.0,54.8,70.2,79.8,82.8,84.5
129,9728.0,71.4,80.3,82.7,84.2,86.0
130,9804.0,78.4,81.6,82.8,83.9,87.4
131,9880.0,56.0,71.7,78.4,83.6,96.9
132,9956.0,56.3,64.4,68.0,71.1,74.2
133,10032.0,44.0,61.0,64.5,67.6,71.2
134,10108.0,69.4,71.4,78.4,84.5,87.5
135,10184.0,63.4,81.7,85.4,88.8,98.3
136,10260.0,81.3,83.5,84.8,86.3,87.6
137,10336.0,79.2,82.3,84.4,86.2,87.6
138,10412.0,54.9,73.8,82.8,85.9,87.2
139,10488.0,80.3,82.9,84.3,85.6,87.0
140,10564.0,74.3,79.7,83.4,84.9,88.6
141,10640.0,54.4,71.9,80.2,85.5,90.9
142,10716.0,17.9,34.0,56.5,70.0,75.0
143,10792.0,69.2,81.6,99.7,153.0,276.8
144,10868.0,72.9,78.3,82.5,87.4,92.9
145,10944.0,83.4,88.1,90.9,92.3,97.0
146,11020.0,80.0,84.3,87.0,90.8,97.8
147,11096.0,74.5,80.2,83.6,85.9,95.4
148,11172.0,54.8,71.8,81.1,84.7,91.3
149,11248.0,77.6,81.5,83.3,85.5,94.8
150,11324.0,74.0,79.9,82.7,85.0,91.8
151,11400.0,64.5,72.8,78.6,83.0,84.4
152,11476.0,62.6,66.3,68.3,70.8,74.4
153,11552.0,44.0,59.1,64.6,71.2,77.8
154,11628.0,68.3,72.5,79.0,84.6,90.2
155,11704.0,81.0,83.9,85.3,87.1,93.9
156,11780.0,74.9,81.1,83.9,85.4,86.7
157,11856.0,77.3,84.2,87.3,90.6,93.7
158,11932.0,54.5,74.7,82.2,85.2,91.8
159,12008.0,75.1,82.6,83.5,85.9,88.6
160,12084.0,75.1,82.5,85.1,89.0,94.8
161,12160.0,69.1,74.2,79.3,85.6,89.6
162,12236.0,19.5,32.0,54.0,69.6,76.1
163,12312.0,68.8,79.3,102.5,145.5,263.1
164,12388.0,72.1,79.3,82.7,88.1,90.1
165,12464.0,81.0,86.1,88.2,89.9,91.4
166,12540.0,78.9,81.4,82.9,83.8,85.9
167,12616.0,67.5,77.5,83.2,85.9,93.1
168,12692.0,54.2,72.5,78.3,81.5,87.1
169,12768.0,72.4,78.2,80.5,81.8,82.7
170,12844.0,77.0,78.5,80.2,81.3,82.9
171,12920.0,66.8,70.6,74.5,79.7,80.4
172,12996.0,56.2,60.4,64.2,65.8,66.9
173,13072.0,43.3,61.6,63.3,68.7,71.7
174,13148.0,70.1,77.1,81.5,84.5,86.1
175,13224.0,79.9,84.3,86.6,89.5,92.7
176,13300.0,74.5,83.3,85.5,89.8,94.9
177,13376.0,79.6,80.1,86.6,89.8,94.7
178,13452.0,60.1,80.6,81.8,84.8,87.3
179,13528.0,73.6,79.7,81.8,83.0,86.5
180,13604.0,72.4,78.6,81.9,83.6,85.0
181,13680.0,62.1,70.8,75.2,80.0,84.1
182,13756.0,28.0,47.7,72.7,125.2,265.5
183,13832.0,69.4,75.5,84.6,90.8,107.5
184,13908.0,78.6,82.8,87.1,91.0,92.5
185,13984.0,80.9,83.4,87.1,89.8,90.9
186,14060.0,74.9,81.0,83.3,85.1,86.3
187,14136.0,53.6,67.4,79.8,83.0,89.1
188,14212.0,75.8,78.8,80.5,81.9,86.1
189,14288.0,61.2,77.4,81.5,84.6,94.7
190,14364.0,71.7,77.2,80.0,81.0,82.5
191,14440.0,55.0,67.1,72.8,75.9,82.6
192,14516.0,43.1,56.6,64.1,66.0,68.7
193,14592.0,52.3,60.8,67.2,72.2,78.6
194,14668.0,72.9,80.8,84.8,86.1,86.9
195,14744.0,79.7,82.3,85.9,90.3,94.8
196,14820.0,78.9,82.0,83.6,84.5,85.8
197,14896.0,55.0,72.7,81.5,84.6,86.0
198,14972.0,74.7,79.2,83.5,84.9,88.0
199,15048.0,79.6,81.8,83.1,84.4,85.3
200,15124.0,76.0,81.3,83.4,84.7,87.5
201,15200.0,63.8,67.0,72.0,75.2,83.1
202,15276.0,21.0,44.8,78.0,134.0,263.4
203,15352.0,69.3,76.2,81.6,88.1,101.6
204,15428.0,81.2,82.9,87.4,91.0,92.8
205,15504.0,80.5,83.2,89.1,93.1,99.2
206,15580.0,79.9,82.2,84.2,85.9,91.3
207,15656.0,54.7,73.0,80.3,84.0,91.4
208,15732.0,69.8,78.2,81.6,82.8,84.5
209,15808.0,78.3,81.3,83.0,85.0,89.6
210,15884.0,72.6,77.9,81.1,82.5,83.1
211,15960.0,57.6,66.0,71.7,75.3,83.0
212,16036.0,43.9,54.1,63.0,66.3,68.0
213,16112.0,63.8,69.7,72.6,83.2,84.7
214,16188.0,76.8,80.8,84.0,85.5,86.5
215,16264.0,80.6,82.6,83.7,85.1,90.7
216,16340.0,76.6,80.1,84.1,85.6,97.8
217,16416.0,45.7,72.4,82.4,84.8,86.2
218,16492.0,78.9,81.2,83.3,85.7,93.8
219,16568.0,78.2,82.3,83.6,84.1,90.1
220,16644.0,70.6,76.2,82.9,84.6,88.3
221,16720.0,64.0,66.0,72.3,75.0,77.6
222,16796.0,20.5,53.0,82.4,124.5,268.7
223,16872.0,53.9,70.4,78.4,82.0,87.7
224,16948.0,79.4,83.6,86.8,89.6,91.3
225,17024.0,79.7,83.8,86.8,90.9,91.9
226,17100.0,73.4,79.6,82.7,84.3,85.8
227,17176.0,53.0,71.6,79.9,83.0,84.4
228,17252.0,78.6,80.8,83.2,85.5,88.9
229,17328.0,70.4,79.2,82.6,83.9,90.0
230,17404.0,70.4,77.4,81.3,83.6,93.9
231,17480.0,62.7,68.1,71.8,75.7,76.5
232,17556.0,35.2,59.2,64.1,67.3,70.3
233,17632.0,65.5,71.1,73.9,82.1,85.4
234,17708.0,81.0,84.6,86.4,89.2,93.2
235,17784.0,75.3,81.8,84.2,86.2,91.4
236,17860.0,78.8,83.0,85.1,87.4,88.1
237,17936.0,56.2,76.1,82.6,86.5,92.7
238,18012.0,72.9,77.6,82.9,85.1,92.0
239,18088.0,72.1,78.8,82.6,84.0,90.4
240,18164.0,74.1,76.8,81.8,83.9,85.0
241,18240.0,57.6,64.4,71.5,73.8,75.3
242,18316.0,25.4,75.0,94.9,168.7,264.3
243,18392.0,69.4,74.0,77.3,80.4,85.1
244,18468.0,79.1,87.3,89.8,92.6,101.2
245,18544.0,73.6,81.9,85.1,89.2,90.3
246,18620.0,77.8,81.2,82.8,84.1,84.9
247,18696.0,43.9,70.8,78.8,81.9,85.1
248,18772.0,72.4,78.0,80.0,81.8,83.1
249,18848.0,75.6,78.8,81.0,81.9,83.4
250,18924.0,67.0,71.9,76.8,79.8,80.4
251,19000.0,56.0,64.4,67.6,71.7,73.3
252,19076.0,43.5,59.9,63.5,66.7,70.0
253,19152.0,61.0,69.6,76.0,83.1,85.6
254,19228.0,74.7,80.2,84.3,85.5,86.7
255,19304.0,80.2,82.1,83.7,84.3,85.3
256,19380.0,74.5,80.4,83.7,86.2,89.2
257,19456.0,56.1,72.6,82.9,87.0,101.4
258,19532.0,74.5,79.9,82.8,83.9,87.1
259,19608.0,80.7,83.0,84.7,89.2,96.8
260,19684.0,62.4,72.2,78.4,83.7,85.3
261,19760.0,51.8,64.5,69.0,72.4,74.6
262,19836.0,48.0,81.3,101.9,171.5,270.1
263,19912.0,70.6,73.5,79.1,82.8,88.6
264,19988.0,82.1,84.6,86.9,89.6,91.0
265,20064.0,80.3,82.3,84.4,86.2,90.1
266,20140.0,75.2,80.5,83.3,84.7,85.8
267,20216.0,54.0,73.5,79.4,82.2,83.2
268,20292.0,79.1,80.9,82.5,83.7,84.2
269,20368.0,71.6,79.1,82.6,84.1,90.4
270,20444.0,68.1,71.8,79.5,82.9,93.6
271,20520.0,62.6,66.4,68.6,73.3,74.2
272,20596.0,44.0,58.6,63.8,68.2,71.7
273,20672.0,69.0,73.8,79.7,84.6,96.5
274,20748.0,81.2,82.5,84.6,85.4,86.0
275,20824.0,73.3,81.5,83.9,85.4,89.4
276,20900.0,28.2,64.1,80.2,86.2,97.9
277,20976.0,55.7,80.6,84.3,91.8,99.7
278,21052.0,78.6,81.2,82.6,83.3,84.3
279,21128.0,72.9,78.9,82.4,83.7,84.9
280,21204.0,69.0,73.1,79.0,83.2,85.2
281,21280.0,48.4,58.2,67.1,71.7,78.6
282,21356.0,70.2,80.6,99.8,154.4,272.2
283,21432.0,71.9,78.8,81.8,86.4,89.0
284,21508.0,78.8,83.9,88.4,89.5,90.8
285,21584.0,79.2,81.2,84.4,85.9,89.9
286,21660.0,75.0,79.7,82.1,83.5,85.3
287,21736.0,59.8,79.6,94.1,98.2,102.5
288,21812.0,83.6,93.5,96.4,98.8,99.9
289,21888.0,75.1,82.8,93.0,97.7,99.7
290,21964.0,66.2,85.3,91.3,98.4,99.6
291,22040.0,62.9,68.1,72.5,77.3,81.8
292,22116.0,44.1,56.6,64.2,69.0,72.5
293,22192.0,62.1,68.6,79.1,84.8,91.2
294,22268.0,74.9,83.2,85.4,86.9,93.6
295,22344.0,80.3,84.5,86.6,90.2,98.0
296,22420.0,80.5,83.8,87.2,94.9,105.5
297,22496.0,56.0,74.3,82.0,84.4,86.4
298,22572.0,74.5,81.4,84.0,87.9,96.7
299,22648.0,80.3,80.7,83.3,84.2,85.6
300,22724.0,64.8,73.8,78.4,88.8,92.6
301,22800.0,37.6,64.7,77.1,208.3,260.9
302,22876.0,66.9,75.0,85.1,98.7,126.9
303,22952.0,77.4,80.9,84.6,88.8,90.6
304,23028.0,78.5,82.4,86.5,88.1,90.2
305,23104.0,70.2,79.3,83.6,85.4,91.8
306,23180.0,79.4,75.2,83.8,84.7,85.6
307,23256.0,72.8,79.8,82.4,84.9,89.7
308,23332.0,70.4,79.6,82.6,84.4,91.0
309,23408.0,77.8,80.7,82.3,84.4,90.6
310,23484.0,62.4,70.7,75.0,83.3,83.9
311,23560.0,44.1,57.3,64.8,67.3,72.7
312,23636.0,59.9,63.6,68.1,71.4,73.1
313,23712.0,75.2,80.5,84.0,85.5,86.9
314,23788.0,75.7,81.7,84.3,85.7,87.7
315,23864.0,80.7,83.9,85.8,88.0,90.8
316,23940.0,57.9,74.0,81.8,84.1,85.7
317,24016.0,77.2,80.7,83.7,84.8,87.2
318,24092.0,79.6,81.9,83.3,84.5,86.2
319,24168.0,75.5,80.1,82.6,83.8,84.8
320,24244.0,65.1,69.0,74.1,77.0,85.2
321,24320.0,33.0,61.0,80.6,161.8,260.6
322,24396.0,68.6,76.4,85.1,94.7,106.2
323,24472.0,76.5,82.3,85.8,90.3,91.7
324,24548.0,78.7,83.9,88.4,90.5,100.4
325,24624.0,74.6,79.8,82.5,84.7,93.0
326,24700.0,53.7,71.8,79.9,82.8,86.9
327,24776.0,65.2,75.9,79.7,81.8,92.1
328,24852.0,72.5,79.5,81.4,83.5,91.6
329,24928.0,71.9,78.1,80.5,83.7,94.1
330,25004.0,52.2,64.9,71.1,72.9,80.0
331,25080.0,43.3,56.4,63.3,66.0,68.4
332,25156.0,62.9,64.7,69.2,73.6,80.3
333,25232.0,77.2,81.5,83.7,85.2,87.4
334,25308.0,75.2,80.5,83.4,84.9,86.4
335,25384.0,78.0,81.9,83.9,85.1,86.6
336,25460.0,55.8,75.6,82.8,88.0,99.6
337,25536.0,67.0,82.5,85.5,87.0,98.2
338,25612.0,79.2,81.9,83.2,84.4,85.4
339,25688.0,75.5,80.1,83.0,84.3,85.5
340,25764.0,63.5,68.0,72.2,76.2,81.8
341,25840.0,45.6,72.4,95.4,162.6,269.4
342,25916.0,69.8,74.0,78.9,81.3,86.9
343,25992.0,79.8,83.8,87.6,91.2,96.4
344,26068.0,81.4,86.0,90.0,92.5,107.5
345,26144.0,76.8,82.0,84.7,86.3,91.9
346,26220.0,54.7,70.4,80.5,84.0,85.2
347,26296.0,78.1,82.2,83.6,87.1,92.0
348,26372.0,74.7,80.0,82.7,84.9,90.6
349,26448.0,74.6,78.5,82.5,84.2,88.7
350,26524.0,63.2,66.6,71.5,74.2,76.5
351,26600.0,43.7,59.5,65.2,68.2,73.7
352,26676.0,60.9,68.5,72.0,79.9,84.5
353,26752.0,82.3,84.1,85.2,86.2,87.4
354,26828.0,76.0,82.0,84.6,88.4,99.9
355,26904.0,79.2,83.4,85.2,86.7,87.9
356,26980.0,58.7,76.1,82.8,85.0,90.5
357,27056.0,76.8,82.5,83.9,85.8,89.3
358,27132.0,72.9,78.5,83.1,85.2,90.5
359,27208.0,73.0,77.2,83.1,84.5,86.2
360,27284.0,65.3,68.5,71.6,74.8,77.2
361,27360.0,49.0,72.0,92.5,139.5,267.2
362,27436.0,71.8,74.0,78.5,80.7,86.7
363,27512.0,73.8,81.9,87.1,89.0,91.5
364,27588.0,71.1,82.5,86.4,90.0,95.7
365,27664.0,78.4,81.7,83.2,84.4,89.9
366,27740.0,53.1,71.4,79.3,81.7,84.1
367,27816.0,71.3,78.3,81.6,83.9,91.5
368,27892.0,76.8,79.1,81.1,82.1,83.0
369,27968.0,66.9,73.1,77.3,79.6,81.4
370,28044.0,54.6,65.0,68.2,72.0,73.5
371,28120.0,43.5,56.5,62.4,64.9,70.2
372,28196.0,68.1,70.8,76.1,85.1,87.3
373,28272.0,78.2,82.4,84.7,85.8,86.8
374,28348.0,75.3,80.1,83.7,84.6,85.4
375,28424.0,76.6,82.4,83.8,86.0,87.9
376,28500.0,55.0,68.8,81.3,85.2,97.0
377,28576.0,77.3,80.4,83.0,84.1,85.6
378,28652.0,79.3,81.3,83.4,85.4,89.7
379,28728.0,74.5,75.6,80.7,83.5,84.6
380,28804.0,64.2,66.8,70.8,74.5,83.1
381,28880.0,43.4,78.4,99.8,167.5,265.9
382,28956.0,72.7,73.7,78.5,81.8,83.3
383,29032.0,84.5,86.2,89.0,90.4,91.8
384,29108.0,80.0,82.8,85.3,89.1,90.6
385,29184.0,73.5,79.0,82.5,83.7,84.4
386,29260.0,53.5,71.6,78.7,81.6,86.7
387,29336.0,76.5,79.4,81.1,82.7,88.4
388,29412.0,69.4,77.7,80.6,83.0,87.4
389,29488.0,70.5,71.5,77.5,80.2,80.7
390,29564.0,62.7,65.7,68.1,72.9,73.7
391,29640.0,43.6,54.6,62.7,66.0,71.0
392,29716.0,68.2,71.2,76.9,82.9,87.3
393,29792.0,80.2,81.7,84.0,85.5,85.9
394,29868.0,77.0,82.3,84.4,85.4,87.5
395,29944.0,79.1,82.4,84.4,85.5,87.8
396,30020.0,55.5,71.8,81.1,83.9,86.6
397,30096.0,71.6,78.9,82.3,83.2,84.6
398,30172.0,78.8,82.9,84.7,90.3,98.6
399,30248.0,69.4,73.5,80.2,86.0,96.3
400,30324.0,52.8,61.4,67.9,71.7,75.5
401,30400.0,60.0,81.7,99.1,150.9,264.9
402,30476.0,74.0,80.3,81.7,85.7,90.4
403,30552.0,84.9,88.6,90.7,93.5,100.7
404,30628.0,75.4,83.4,85.7,89.6,96.1
405,30704.0,78.6,80.9,82.9,84.0,85.1
406,30780.0,54.3,69.7,80.8,84.9,93.9
407,30856.0,72.1,77.2,82.2,83.3,84.2
408,30932.0,73.5,80.7,83.0,85.2,93.1
409,31008.0,68.4,72.4,77.7,82.1,84.1
410,31084.0,62.4,65.5,68.0,70.2,73.1
411,31160.0,43.7,61.3,65.1,69.2,71.7
412,31236.0,61.2,70.1,78.9,84.2,86.2
413,31312.0,69.6,79.2,84.2,85.6,87.1
414,31388.0,80.3,83.8,85.6,93.1,100.7
415,31464.0,71.1,83.5,86.3,88.7,95.4
416,31540.0,54.7,75.9,82.4,86.0,99.8
417,31616.0,80.1,81.9,82.9,83.9,84.7
418,31692.0,74.4,79.9,82.3,83.5,84.6
419,31768.0,65.4,73.6,78.2,83.4,85.3
420,31844.0,48.8,60.0,68.0,73.6,76.9
421,31920.0,67.5,79.4,98.6,161.5,262.1
422,31996.0,77.6,80.4,83.4,89.5,92.7
423,32072.0,85.2,87.5,89.6,90.5,91.3
424,32148.0,75.7,81.1,83.4,85.0,90.1
425,32224.0,74.1,82.0,84.5,84.8,97.8
426,32300.0,54.0,72.3,80.5,82.8,87.5
427,32376.0,72.9,78.4,81.8,84.2,84.2
428,32452.0,69.0,76.5,81.2,82.3,83.6
429,32528.0,69.2,73.6,77.8,82.5,83.6
430,32604.0,53.8,63.4,66.9,68.0,71.3
431,32680.0,44.0,60.2,65.0,70.2,72.7
432,32756.0,70.8,78.3,83.1,86.0,94.0
433,32832.0,76.4,82.5,84.4,86.6,92.5
434,32908.0,80.2,82.2,84.6,85.8,86.8
435,32984.0,78.8,82.5,84.3,86.9,88.6
436,33060.0,55.7,72.3,82.5,85.0,92.1
437,33136.0,75.0,79.6,82.2,83.1,83.9
438,33212.0,79.9,81.9,83.4,84.4,87.6
439,33288.0,63.7,71.6,76.6,82.1,84.2
440,33364.0,48.3,68.1,78.3,265.0,262.7
441,33440.0,69.6,76.4,84.4,92.7,105.9
442,33516.0,70.0,80.4,85.6,90.3,93.1
443,33592.0,80.8,86.2,90.3,93.7,98.7
444,33668.0,79.1,81.1,83.5,84.6,85.7
445,33744.0,76.1,78.9,84.3,87.1,98.6
446,33820.0,73.8,77.8,81.1,82.7,83.7
447,33896.0,79.3,81.0,82.8,83.5,84.7
448,33972.0,70.8,78.0,81.6,82.6,84.2
449,34048.0,63.4,73.0,76.3,82.8,83.1
450,34124.0,56.8,58.7,66.1,67.5,68.4
451,34200.0,46.1,61.5,66.7,71.3,72.3
452,34276.0,78.2,81.4,83.7,85.9,97.3
453,34352.0,79.7,81.9,84.3,86.6,92.3
454,34428.0,80.4,83.6,85.1,87.2,91.1
455,34504.0,54.6,74.4,81.7,84.1,87.8
456,34580.0,75.1,80.2,83.5,84.6,89.2
457,34656.0,79.0,82.5,84.1,86.9,91.3
458,34732.0,75.7,81.3,83.6,85.5,92.2
459,34808.0,63.5,68.8,74.7,76.8,84.0
460,34884.0,48.4,69.4,87.8,151.2,265.9
461,34960.0,69.5,77.3,82.6,89.6,104.3
462,35036.0,77.2,82.7,85.5,90.0,98.8
463,35112.0,79.4,83.7,87.1,88.6,90.1
464,35188.0,70.8,79.4,82.6,84.6,94.6
465,35264.0,54.3,67.3,80.1,83.4,89.6
466,35340.0,76.0,78.4,80.0,81.0,81.6
467,35416.0,73.1,77.6,80.1,81.5,82.8
468,35492.0,66.7,73.3,78.2,79.9,86.1
469,35568.0,61.3,68.8,71.9,75.4,80.7
470,35644.0,44.1,57.3,63.7,66.2,69.2
471,35720.0,56.0,62.6,68.6,73.7,79.7
472,35796.0,75.1,82.9,85.6,89.6,102.7
473,35872.0,81.6,84.7,86.0,91.5,99.4
474,35948.0,76.3,82.2,85.3,87.6,92.4
475,36024.0,12.5,47.1,77.6,83.7,86.9
476,36100.0,79.5,82.8,84.6,87.3,93.2
477,36176.0,72.0,80.9,83.0,86.3,95.9
478,36252.0,79.7,83.0,85.1,92.9,99.3
479,36328.0,63.1,67.5,72.0,76.3,85.7
480,36404.0,48.7,68.5,88.6,124.3,263.1
481,36480.0,69.2,73.4,79.5,83.1,87.9
482,36556.0,81.7,85.1,87.5,90.8,92.3
483,36632.0,79.8,83.9,87.0,89.7,93.4
484,36708.0,77.9,80.6,82.6,83.6,84.4
485,36784.0,53.9,72.4,79.4,82.1,83.4
486,36860.0,69.5,79.0,81.0,82.3,86.3
487,36936.0,72.8,76.8,80.9,82.2,83.5
488,37012.0,73.5,78.8,80.7,84.6,92.6
489,37088.0,61.6,65.6,69.0,73.3,76.8
490,37164.0,43.3,57.5,63.3,65.5,67.6
491,37240.0,62.4,69.5,71.8,81.9,83.9
492,37316.0,73.6,81.9,85.5,89.0,102.3
493,37392.0,80.7,83.1,84.6,86.4,92.6
494,37468.0,76.1,79.4,83.1,84.2,85.7
495,37544.0,52.1,74.6,81.3,84.2,89.7
496,37620.0,74.1,79.5,82.6,84.4,85.9
497,37696.0,79.0,81.7,83.6,86.1,95.7
498,37772.0,72.9,74.6,82.0,83.7,84.6
499,37848.0,63.5,68.1,71.8,74.3,76.1
500,37924.0,42.0,75.1,98.8,168.6,261.9
501,38000.0,63.6,72.4,78.4,82.0,87.0
502,38076.0,84.7,86.9,89.0,90.5,91.8
503,38152.0,78.4,81.6,84.6,87.4,90.4
504,38228.0,74.2,79.5,82.7,84.8,92.9
505,38304.0,53.3,71.0,79.3,81.1,84.6
506,38380.0,76.9,78.4,80.6,81.8,83.3
507,38456.0,72.6,77.3,80.4,81.9,83.0
508,38532.0,71.1,75.7,79.6,81.5,82.5
