N,MB,min,avgMin,avg,avgMax,max
1,0.0,210.5,761.6,1378.8,1782.8,1987.3
2,76.0,1443.5,1571.6,1852.8,1949.3,2013.1
3,152.0,1747.9,1809.2,1865.7,1900.5,2023.1
4,228.0,1748.8,1801.7,1834.2,1872.0,1932.0
5,304.0,1524.6,1762.8,1849.0,1914.0,1976.0
6,380.0,960.5,1608.8,1810.5,1889.4,2049.9
7,456.0,1814.7,1870.8,1923.8,1960.8,1990.5
8,532.0,1641.8,1810.4,1869.0,1923.4,2012.0
9,608.0,1788.7,1842.9,1892.3,1959.6,1988.2
10,684.0,911.1,1518.2,1879.1,1942.3,2047.5
11,760.0,1799.0,1864.4,1908.4,1938.6,1976.3
12,836.0,246.4,1246.3,1824.5,1933.5,2075.2
13,912.0,1747.0,1809.2,1847.6,1906.4,1970.8
14,988.0,831.0,1168.3,1706.5,1860.8,2154.2
15,1064.0,1718.5,1787.8,1834.4,1884.6,1977.0
16,1140.0,1776.6,1827.2,1861.5,1904.3,1947.9
17,1216.0,1829.3,1903.9,1930.6,1972.3,2026.2
18,1292.0,1794.8,1850.8,1906.6,1958.7,2073.8
19,1368.0,1802.0,1849.3,1880.7,1904.8,1919.8
20,1444.0,1795.3,1823.1,1861.1,1894.1,1939.7
21,1520.0,1739.5,1840.9,1903.7,1947.4,1994.7
22,1596.0,1609.5,1793.3,1894.9,1943.7,1985.9
23,1672.0,1818.3,1883.8,1915.8,1937.6,1957.9
24,1748.0,1744.5,1823.5,1876.6,1957.7,1987.4
25,1824.0,1528.2,1688.5,1832.3,1896.6,1965.4
26,1900.0,1640.5,1751.4,1835.4,1914.4,1974.3
27,1976.0,1318.3,1513.4,1845.7,1968.3,2289.2
28,2052.0,1118.9,1445.1,1708.5,1831.8,2037.7
29,2128.0,1342.7,1583.2,1758.1,1850.8,1922.2
30,2204.0,1064.8,1357.9,1737.4,1862.8,1947.0
31,2280.0,1453.3,1586.4,1828.7,1906.5,1989.0
32,2356.0,1786.9,1848.3,1926.5,1973.2,2121.0
33,2432.0,1701.3,1830.2,1876.5,1907.4,1969.8
34,2508.0,1775.7,1832.0,1870.6,1934.0,1987.6
35,2584.0,1443.8,1555.4,1807.8,1902.5,1979.6
36,2660.0,1729.6,1875.2,1940.0,1991.2,2020.1
37,2736.0,1683.2,1824.5,1893.8,1969.8,2018.1
38,2812.0,1760.5,1813.4,1863.0,1905.5,2009.1
39,2888.0,1733.9,1822.5,1866.3,1907.0,1950.6
40,2964.0,1782.7,1842.7,1875.7,1911.5,1968.8
41,3040.0,297.5,953.3,1614.1,1822.1,2132.5
42,3116.0,1505.2,1760.5,1827.1,1882.2,1946.9
43,3192.0,1726.9,1834.9,1888.6,1968.9,2081.9
44,3268.0,1769.3,1835.9,1875.3,1908.3,2022.4
45,3344.0,1794.0,1840.1,1890.5,1919.5,1967.6
46,3420.0,1752.4,1815.8,1852.4,1879.6,1902.7
47,3496.0,1710.5,1796.7,1846.0,1885.6,1920.1
48,3572.0,1661.8,1785.7,1859.6,1889.8,1940.4
49,3648.0,1447.4,1643.0,1807.7,1900.3,2007.6
50,3724.0,1407.1,1686.8,1878.6,1942.5,1994.9
51,3800.0,1390.0,1662.7,1837.5,1875.7,2128.8
52,3876.0,1705.3,1773.1,1850.4,1879.4,1903.9
