N,MB,min,avgMin,avg,avgMax,max
1,0.0,216.1,318.3,377.3,433.9,564.9
2,76.0,356.2,380.2,411.6,465.9,528.7
3,152.0,366.6,394.8,427.1,505.4,568.1
4,228.0,365.4,399.9,447.6,545.0,578.2
5,304.0,366.5,400.5,435.7,539.3,603.1
6,380.0,271.0,365.0,423.1,492.8,581.9
7,456.0,349.9,390.3,447.0,543.3,611.8
8,532.0,347.3,392.2,417.5,505.7,548.5
9,608.0,355.4,386.1,425.4,513.9,593.0
10,684.0,348.8,385.6,425.0,498.8,601.9
11,760.0,336.1,376.4,404.5,463.8,560.3
12,836.0,318.7,389.9,433.8,552.7,578.8
13,912.0,227.8,304.5,376.8,427.6,578.0
14,988.0,241.9,338.5,393.7,449.6,529.3
15,1064.0,334.0,389.0,425.0,516.5,586.9
16,1140.0,377.1,403.2,429.8,529.6,574.3
17,1216.0,317.8,393.6,438.8,515.3,592.3
18,1292.0,163.9,295.3,381.1,436.0,546.2
19,1368.0,341.2,395.9,441.3,538.1,578.0
20,1444.0,230.4,344.7,407.7,479.3,530.4
21,1520.0,354.0,402.3,444.3,552.0,582.1
22,1596.0,224.9,376.8,440.2,533.8,597.2
23,1672.0,207.5,370.6,413.1,488.5,577.7
24,1748.0,347.6,395.0,438.6,538.8,559.1
25,1824.0,273.8,366.4,414.2,482.7,579.3
26,1900.0,357.3,390.2,439.4,537.3,569.1
27,1976.0,205.9,357.2,411.1,478.0,592.0
28,2052.0,366.5,399.8,428.2,602.6,605.9
29,2128.0,240.0,288.8,378.5,415.9,528.9
30,2204.0,247.8,352.9,411.5,540.1,614.3
31,2280.0,362.9,391.2,426.6,547.9,594.4
32,2356.0,159.5,202.8,325.4,411.2,538.1
33,2432.0,153.9,188.2,211.3,219.0,225.0
34,2508.0,132.2,148.6,186.1,207.9,225.0
35,2584.0,151.1,178.1,196.6,208.0,219.3
36,2660.0,175.3,185.8,195.8,209.1,217.1
37,2736.0,138.0,176.2,191.1,203.0,214.3
38,2812.0,139.0,163.9,190.5,207.2,224.1
39,2888.0,139.6,176.0,197.6,213.2,223.1
40,2964.0,185.2,191.9,205.7,215.7,222.5
41,3040.0,138.5,176.4,196.3,215.1,222.2
42,3116.0,186.3,193.7,203.0,212.3,222.4
43,3192.0,154.0,177.5,192.5,206.4,220.1
44,3268.0,122.2,161.9,192.0,207.2,225.7
45,3344.0,177.4,196.1,204.4,215.5,222.7
46,3420.0,176.6,190.0,202.0,214.1,221.0
47,3496.0,139.8,156.7,178.5,205.9,216.1
48,3572.0,141.0,167.7,185.8,196.5,208.0
49,3648.0,143.4,167.3,188.1,200.8,225.2
50,3724.0,132.6,184.6,197.3,210.7,221.2
51,3800.0,141.0,178.7,193.1,204.6,219.8
52,3876.0,174.4,191.7,200.1,211.9,223.0
53,3952.0,158.0,176.4,190.2,198.1,214.6
54,4028.0,141.6,162.1,190.6,205.0,225.9
55,4104.0,150.8,172.6,192.2,206.0,221.0
56,4180.0,135.2,162.9,187.3,199.4,223.2
57,4256.0,130.4,160.4,187.1,207.8,221.2
58,4332.0,124.1,149.2,189.1,204.6,221.0
59,4408.0,173.1,193.3,205.0,213.9,228.9
60,4484.0,172.3,185.7,199.4,210.1,221.3
61,4560.0,177.3,187.6,197.9,209.6,222.4
62,4636.0,183.9,195.1,203.1,213.6,222.9
63,4712.0,154.8,176.9,192.2,204.1,222.3
64,4788.0,141.7,160.6,189.0,205.3,226.9
65,4864.0,138.1,166.9,191.9,206.1,223.4
66,4940.0,150.0,176.9,189.3,200.4,218.6
67,5016.0,167.9,195.1,202.5,215.2,223.6
68,5092.0,121.1,141.1,180.6,198.0,222.4
69,5168.0,134.7,173.2,197.0,208.9,223.4
70,5244.0,170.3,187.0,196.2,204.7,216.8
71,5320.0,160.8,177.8,190.7,199.3,216.6
72,5396.0,173.5,190.7,200.0,210.3,219.1
73,5472.0,160.9,168.2,178.2,190.3,213.9
74,5548.0,167.1,185.1,194.6,203.3,219.8
75,5624.0,167.4,180.6,188.7,202.8,215.7
76,5700.0,165.5,181.5,192.2,200.9,207.7
77,5776.0,134.9,157.2,182.6,199.6,220.4
78,5852.0,151.6,175.6,179.3,188.9,199.5
79,5928.0,183.4,193.7,202.3,212.9,221.7
80,6004.0,164.8,180.5,188.5,196.3,207.9
81,6080.0,142.9,173.7,195.3,206.8,221.2
82,6156.0,126.7,163.5,186.9,200.1,219.7
83,6232.0,156.7,172.0,186.7,198.8,215.1
84,6308.0,178.3,189.7,199.4,204.5,217.6
85,6384.0,137.1,151.5,183.4,196.3,215.1
86,6460.0,140.6,161.3,184.9,197.8,210.9
87,6536.0,134.8,179.8,192.9,204.7,222.8
88,6612.0,137.9,161.4,184.0,200.3,217.5
89,6688.0,119.3,145.8,182.6,201.3,222.4
90,6764.0,138.1,156.1,187.7,200.2,210.2
91,6840.0,158.1,176.9,191.8,204.8,222.6
92,6916.0,148.0,184.4,194.4,205.8,215.6
93,6992.0,165.6,171.2,186.8,195.7,202.6
94,7068.0,181.5,189.5,196.2,206.0,211.1
95,7144.0,148.0,180.5,195.4,204.6,224.2
96,7220.0,182.2,195.0,199.8,207.0,215.9
97,7296.0,147.7,180.3,190.1,197.2,208.3
98,7372.0,178.7,185.4,197.3,205.7,220.3
99,7448.0,135.9,177.8,192.3,202.1,224.5
100,7524.0,148.2,167.7,180.0,198.5,219.5
101,7600.0,156.0,178.0,192.0,208.5,222.1
102,7676.0,140.2,164.8,185.5,199.3,210.1
103,7752.0,138.3,176.9,192.9,202.8,216.4
104,7828.0,130.1,147.7,191.4,201.7,216.4
105,7904.0,130.9,165.4,178.2,192.1,210.6
106,7980.0,167.1,189.9,197.5,209.3,224.5
107,8056.0,160.4,172.3,191.6,200.1,214.7
108,8132.0,138.8,156.6,185.4,195.2,209.3
109,8208.0,185.0,192.5,199.9,214.1,219.0
110,8284.0,172.0,184.5,191.9,204.7,217.8
111,8360.0,181.3,192.5,200.2,211.3,222.0
112,8436.0,130.5,152.3,181.8,192.3,204.8
113,8512.0,140.7,182.1,197.7,210.1,223.7
114,8588.0,153.8,174.9,190.5,201.8,219.4
115,8664.0,128.0,176.0,190.6,204.8,222.6
116,8740.0,144.9,181.6,198.5,206.7,217.2
117,8816.0,145.4,179.9,190.1,199.5,213.3
118,8892.0,141.5,169.1,187.3,203.2,216.6
119,8968.0,135.9,149.0,173.9,196.3,217.5
120,9044.0,154.6,178.2,192.6,202.5,215.2
121,9120.0,69.0,136.8,185.2,205.7,224.0
122,9196.0,130.1,176.4,191.4,199.6,217.7
123,9272.0,133.5,166.3,189.3,200.6,223.0
124,9348.0,138.9,156.8,176.3,184.6,217.0
125,9424.0,113.5,166.7,187.8,202.8,221.0
126,9500.0,142.0,162.9,190.8,206.8,224.2
127,9576.0,168.2,184.0,190.6,198.2,208.7
128,9652.0,167.6,189.8,204.0,220.5,225.8
129,9728.0,140.0,155.7,174.4,193.7,216.2
