N,MB,min,avgMin,avg,avgMax,max
1,0.0,355.5,443.1,454.2,492.5,502.2
2,76.0,431.2,441.7,463.5,494.2,505.7
3,152.0,352.9,434.4,462.7,491.9,504.4
4,228.0,427.7,437.9,465.3,494.8,505.0
5,304.0,350.1,426.7,464.1,497.0,507.6
6,380.0,418.2,435.2,465.4,497.6,515.7
7,456.0,332.8,422.0,464.6,501.7,529.4
8,532.0,415.9,436.3,466.0,498.2,515.7
9,608.0,339.7,429.9,464.0,494.0,503.6
10,684.0,426.7,439.1,465.0,493.3,502.6
11,760.0,313.3,427.4,456.0,495.4,503.2
12,836.0,421.8,438.9,461.9,491.1,507.4
13,912.0,338.2,423.7,463.2,499.9,539.2
14,988.0,340.0,415.6,456.6,487.6,508.9
15,1064.0,429.8,435.6,469.7,501.0,508.2
16,1140.0,342.7,418.7,454.5,486.4,506.2
17,1216.0,434.2,439.4,469.6,497.1,504.5
18,1292.0,314.7,420.4,460.1,494.5,501.0
19,1368.0,432.7,443.7,471.1,494.4,500.1
20,1444.0,325.3,380.1,440.8,491.5,508.6
21,1520.0,425.6,440.5,471.1,497.5,517.2
22,1596.0,341.8,430.5,461.3,493.9,503.1
23,1672.0,338.4,428.8,466.0,497.6,510.6
24,1748.0,415.3,442.3,466.5,497.9,533.1
25,1824.0,328.5,430.5,464.9,495.9,508.4
26,1900.0,436.4,442.9,465.3,491.1,499.8
27,1976.0,338.3,423.5,467.5,495.7,514.2
28,2052.0,432.3,440.8,467.0,492.5,507.0
29,2128.0,334.9,427.7,462.5,497.5,505.4
30,2204.0,433.7,440.2,465.6,494.8,509.5
31,2280.0,338.4,429.1,465.2,498.4,511.4
32,2356.0,339.2,428.2,461.5,494.5,506.7
33,2432.0,432.7,440.2,469.2,496.5,507.1
34,2508.0,435.5,439.1,464.6,492.9,505.2
35,2584.0,433.8,441.9,467.4,487.4,504.1
36,2660.0,431.0,436.8,464.3,493.9,506.4
37,2736.0,434.8,442.6,471.9,497.1,518.0
38,2812.0,422.4,437.3,463.1,491.9,505.7
39,2888.0,429.4,440.2,467.2,500.3,513.4
40,2964.0,424.0,435.7,468.7,504.9,515.8
41,3040.0,340.3,431.9,461.6,488.7,503.5
42,3116.0,428.7,440.4,466.4,495.2,507.1
43,3192.0,401.6,439.5,463.9,499.5,496.2
44,3268.0,424.9,441.1,464.6,490.9,506.7
45,3344.0,430.5,443.4,469.0,492.0,501.4
46,3420.0,436.3,441.1,468.3,497.5,509.0
47,3496.0,427.7,442.1,471.2,500.5,509.7
48,3572.0,406.4,437.8,467.4,500.6,524.4
49,3648.0,330.1,429.1,463.8,495.2,506.8
50,3724.0,432.1,441.6,466.0,493.6,503.3
51,3800.0,429.5,440.9,470.6,495.9,507.0
52,3876.0,410.2,434.8,463.5,494.7,507.1
53,3952.0,432.5,443.9,471.7,495.5,507.8
54,4028.0,354.6,434.1,459.3,492.2,511.9
55,4104.0,407.6,439.6,470.9,500.3,544.9
56,4180.0,417.6,443.3,464.7,489.0,497.3
57,4256.0,394.7,438.9,468.0,495.8,509.3
58,4332.0,427.1,440.4,464.0,491.5,502.8
59,4408.0,434.4,441.6,468.8,496.6,505.7
60,4484.0,202.5,404.8,449.2,492.7,500.1
61,4560.0,351.0,431.5,462.2,491.2,499.3
62,4636.0,338.4,429.5,460.7,496.2,509.5
63,4712.0,334.7,431.5,464.8,493.7,505.2
64,4788.0,336.7,430.0,462.0,497.1,507.7
65,4864.0,434.0,445.8,469.6,490.5,499.2
66,4940.0,327.4,428.3,459.2,491.7,505.5
67,5016.0,435.7,441.2,470.1,496.6,511.0
68,5092.0,319.6,432.3,457.7,496.6,504.9
69,5168.0,425.5,440.9,469.7,492.0,511.4
70,5244.0,429.7,438.6,466.1,499.0,508.6
71,5320.0,430.3,442.2,469.2,495.3,507.7
72,5396.0,436.1,443.3,466.3,493.9,505.3
73,5472.0,431.8,439.3,468.7,497.1,512.4
74,5548.0,427.5,442.7,469.1,498.2,514.8
75,5624.0,431.9,444.6,468.9,496.5,507.5
76,5700.0,431.3,435.6,465.4,494.8,506.8
77,5776.0,211.4,414.7,455.7,490.4,508.6
78,5852.0,356.4,438.0,455.2,492.4,502.3
79,5928.0,413.3,439.2,462.3,492.1,506.3
80,6004.0,319.3,428.6,444.6,477.8,507.5
81,6080.0,335.3,432.5,458.1,483.6,501.7
82,6156.0,431.8,443.0,464.5,494.8,502.7
83,6232.0,436.6,441.2,467.8,492.2,504.6
84,6308.0,427.4,440.1,465.7,494.1,510.1
85,6384.0,292.0,424.3,459.7,491.6,507.8
86,6460.0,422.3,438.0,459.3,490.6,505.0
87,6536.0,252.4,424.3,460.1,492.1,511.7
88,6612.0,253.1,416.6,454.8,490.9,506.4
89,6688.0,424.7,441.6,466.9,490.2,505.9
90,6764.0,377.3,436.2,467.0,501.5,578.8
91,6840.0,435.2,445.2,467.2,487.7,498.7
92,6916.0,432.1,442.4,466.2,492.5,507.0
93,6992.0,404.4,433.8,461.4,486.1,502.9
94,7068.0,432.1,445.7,465.5,491.0,509.5
95,7144.0,336.3,426.0,454.0,480.3,503.2
96,7220.0,420.7,436.9,464.1,495.4,504.3
97,7296.0,331.2,433.0,465.4,497.4,516.9
98,7372.0,430.4,441.4,466.0,494.5,503.8
99,7448.0,355.7,422.6,458.4,492.4,507.8
100,7524.0,431.8,438.5,464.5,500.0,507.2
101,7600.0,433.1,439.7,469.9,495.2,508.5
102,7676.0,207.1,389.4,446.7,484.3,505.7
103,7752.0,335.9,427.4,459.4,486.9,507.0
104,7828.0,327.1,427.8,459.5,494.4,500.0
105,7904.0,327.4,429.5,461.0,491.4,500.9
106,7980.0,430.7,438.3,465.1,492.7,510.8
107,8056.0,332.8,425.2,459.5,491.5,498.1
108,8132.0,328.2,411.2,446.6,478.7,496.9
109,8208.0,392.7,440.0,463.4,494.6,507.6
110,8284.0,338.0,416.1,451.5,485.3,493.7
111,8360.0,425.9,435.6,470.4,498.2,514.6
112,8436.0,339.8,429.4,459.4,491.2,498.7
