N,MB,min,avgMin,avg,avgMax,max
1,0.0,249.3,268.3,292.0,304.0,316.9
2,76.0,245.5,255.5,278.9,295.8,307.1
3,152.0,256.4,281.3,291.1,301.1,305.8
4,228.0,223.7,264.7,289.9,303.3,309.6
5,304.0,248.8,279.4,300.1,308.4,316.2
6,380.0,259.2,271.6,297.6,306.6,315.7
7,456.0,250.5,265.8,287.6,304.9,319.6
8,532.0,251.6,282.3,298.0,306.6,314.3
9,608.0,250.3,280.4,298.6,309.2,318.3
10,684.0,216.2,258.2,296.9,306.7,317.8
11,760.0,252.1,278.8,297.5,310.9,316.4
12,836.0,251.5,262.1,285.4,304.1,314.2
13,912.0,261.3,285.3,299.0,307.7,313.3
14,988.0,251.0,288.8,295.6,306.1,314.5
15,1064.0,234.3,264.2,299.1,310.1,317.5
16,1140.0,260.5,276.6,297.7,308.2,314.8
17,1216.0,210.6,273.8,293.5,307.3,319.1
18,1292.0,255.9,273.2,298.2,308.1,317.8
19,1368.0,250.5,268.9,299.1,308.8,320.0
20,1444.0,252.4,281.5,299.8,306.0,314.7
21,1520.0,263.6,272.0,297.5,306.3,319.7
22,1596.0,264.8,292.8,304.7,312.1,320.7
23,1672.0,266.8,290.1,303.8,311.7,318.8
24,1748.0,215.5,254.1,291.9,303.6,314.6
25,1824.0,262.6,278.4,296.1,304.7,311.3
26,1900.0,255.2,276.1,295.6,309.3,317.9
27,1976.0,276.0,292.8,302.3,306.9,318.4
28,2052.0,254.9,283.1,301.6,309.3,314.7
29,2128.0,263.5,281.9,299.1,308.9,320.1
30,2204.0,261.8,270.6,301.7,309.4,316.0
31,2280.0,259.8,268.2,295.5,307.5,318.4
32,2356.0,251.5,274.7,298.6,304.1,311.7
33,2432.0,261.3,283.4,298.6,307.5,316.0
34,2508.0,257.3,277.9,295.9,307.1,313.9
35,2584.0,248.5,276.7,298.5,310.2,316.5
36,2660.0,253.6,266.1,294.7,307.7,319.8
37,2736.0,213.5,266.7,296.6,308.2,316.8
38,2812.0,90.2,175.3,275.1,304.5,316.5
39,2888.0,75.1,106.7,180.5,288.5,313.5
40,2964.0,254.1,259.7,292.7,300.9,309.4
41,3040.0,251.6,280.4,301.7,309.0,319.6
42,3116.0,260.7,279.3,299.6,312.6,320.4
43,3192.0,248.8,264.8,287.1,305.9,316.0
44,3268.0,238.4,267.0,285.6,302.9,313.0
45,3344.0,265.9,287.3,297.0,305.8,314.9
46,3420.0,252.2,287.0,302.1,309.8,315.0
47,3496.0,253.2,267.9,298.5,307.8,315.7
48,3572.0,250.2,262.1,284.0,301.3,308.6
49,3648.0,253.7,280.2,296.3,309.9,316.8
50,3724.0,263.4,284.9,301.0,309.5,315.9
51,3800.0,242.8,263.9,296.7,306.2,314.0
52,3876.0,255.3,277.1,292.4,302.4,313.6
53,3952.0,249.6,262.2,284.2,302.4,318.3
54,4028.0,254.2,280.8,291.9,304.6,311.9
55,4104.0,259.1,284.4,297.6,307.6,321.0
