N,MB,min,avgMin,avg,avgMax,max
1,0.0,213.1,340.7,497.1,758.7,1361.3
2,76.0,223.7,324.4,486.7,588.7,922.7
3,152.0,314.2,355.5,445.5,555.6,643.9
4,228.0,349.0,405.8,467.5,504.2,696.8
5,304.0,319.1,417.8,464.9,516.6,578.4
6,380.0,283.6,414.0,476.3,535.3,765.2
7,456.0,288.0,404.1,455.0,535.4,637.7
8,532.0,307.1,420.1,464.8,514.2,603.8
9,608.0,221.1,405.5,495.0,611.2,1343.9
10,684.0,246.5,406.4,449.0,609.7,512.6
11,760.0,387.3,433.1,453.1,499.0,508.1
12,836.0,276.3,423.5,456.5,506.3,507.2
13,912.0,290.0,362.6,439.4,518.4,666.7
14,988.0,304.1,390.6,491.8,515.4,915.2
15,1064.0,298.6,419.2,468.6,509.7,541.8
16,1140.0,395.1,425.2,463.6,505.0,510.9
17,1216.0,294.8,412.3,466.9,527.5,663.3
18,1292.0,356.2,432.6,461.9,501.3,505.5
19,1368.0,292.4,418.8,465.8,509.5,559.2
20,1444.0,227.7,396.2,493.1,613.2,1209.9
21,1520.0,284.0,406.1,470.6,535.4,759.7
22,1596.0,352.9,400.2,443.7,505.7,521.9
23,1672.0,246.6,406.6,459.4,507.4,564.4
24,1748.0,275.7,422.1,473.2,539.3,825.7
25,1824.0,283.1,423.2,481.4,537.8,790.4
26,1900.0,372.4,420.1,457.6,506.1,518.2
27,1976.0,388.6,421.5,458.1,508.2,529.7
28,2052.0,265.3,383.3,468.4,588.5,802.9
29,2128.0,314.0,422.8,474.1,523.6,631.2
30,2204.0,334.6,432.4,460.0,505.3,513.5
31,2280.0,291.0,427.0,472.0,515.4,589.0
32,2356.0,393.8,443.5,470.7,505.5,506.8
33,2432.0,357.4,434.4,475.4,508.9,523.7
34,2508.0,391.8,429.4,458.4,505.5,511.0
35,2584.0,313.7,391.0,491.8,576.1,693.9
36,2660.0,378.5,436.4,466.6,506.9,509.8
37,2736.0,443.0,447.7,478.0,506.6,512.3
38,2812.0,241.5,368.8,545.0,784.0,1333.1
