N,MB,min,avgMin,avg,avgMax,max
1,0.0,91.7,117.2,179.1,221.7,262.3
2,76.0,98.5,147.3,178.7,202.1,253.7
3,152.0,116.4,144.9,177.8,206.5,238.6
4,228.0,25.4,104.8,144.9,177.8,194.5
5,304.0,101.4,136.6,168.1,180.4,193.9
6,380.0,90.9,120.8,147.7,166.9,189.2
7,456.0,65.4,96.7,131.6,148.5,170.2
8,532.0,92.2,114.2,140.3,156.6,170.0
9,608.0,62.2,78.2,120.9,140.7,157.9
10,684.0,62.6,100.2,123.1,140.1,159.4
11,760.0,102.0,111.4,137.5,150.0,161.8
12,836.0,68.4,94.4,123.4,148.1,178.4
13,912.0,34.3,79.7,120.3,141.7,186.0
14,988.0,64.1,87.1,126.1,144.7,165.3
15,1064.0,66.0,111.0,137.5,151.6,172.2
16,1140.0,67.4,89.4,117.9,141.7,163.5
17,1216.0,65.1,92.2,112.5,136.6,154.2
18,1292.0,65.2,95.0,122.0,143.6,174.2
19,1368.0,60.5,104.1,133.5,151.2,182.7
20,1444.0,54.2,62.9,102.4,125.5,154.5
21,1520.0,37.8,59.7,84.8,123.2,153.1
22,1596.0,61.7,89.7,114.4,134.8,149.5
23,1672.0,30.0,45.0,60.8,77.5,120.0
24,1748.0,40.5,74.1,116.7,145.6,161.8
25,1824.0,53.0,70.1,94.3,121.8,146.9
26,1900.0,44.6,54.7,92.6,117.2,147.2
27,1976.0,34.8,46.4,68.3,97.4,166.5
28,2052.0,39.9,46.7,69.5,85.5,108.2
29,2128.0,36.2,44.9,50.9,69.6,72.7
30,2204.0,29.0,47.6,64.7,69.7,164.4
31,2280.0,32.7,75.9,104.7,135.6,181.2
32,2356.0,26.6,50.8,74.4,103.3,136.5
33,2432.0,46.2,52.1,64.4,75.6,100.8
34,2508.0,29.7,62.4,101.6,135.4,179.4
35,2584.0,77.3,107.8,131.7,150.3,168.2
36,2660.0,48.0,63.9,78.7,97.4,137.2
37,2736.0,28.7,43.7,49.6,61.6,74.1
38,2812.0,33.5,68.5,102.4,137.2,159.4
39,2888.0,45.3,55.3,79.1,122.4,146.8
40,2964.0,6.2,59.8,91.5,123.6,144.7
41,3040.0,29.3,47.4,69.6,114.0,150.7
42,3116.0,34.8,47.6,62.6,90.6,86.9
43,3192.0,30.0,49.3,99.2,153.2,191.3
44,3268.0,39.1,46.8,69.6,106.8,132.6
45,3344.0,62.0,84.0,105.0,129.4,157.0
46,3420.0,56.7,78.9,110.4,129.9,151.9
47,3496.0,6.1,39.8,59.1,77.0,94.1
48,3572.0,35.6,50.4,91.6,130.6,166.6
49,3648.0,55.7,75.8,101.0,118.5,137.7
50,3724.0,36.6,57.0,79.8,135.3,149.6
51,3800.0,85.6,129.6,141.3,175.5,206.1
52,3876.0,66.9,109.2,121.0,141.3,175.6
53,3952.0,67.1,113.6,134.4,153.3,176.3
54,4028.0,65.4,86.6,118.6,140.8,167.3
55,4104.0,68.5,99.0,136.6,152.8,168.1
56,4180.0,71.1,102.2,129.5,155.9,175.3
57,4256.0,33.4,58.5,85.5,116.1,199.9
58,4332.0,40.0,50.3,71.8,89.0,118.9
59,4408.0,28.8,103.3,121.7,144.8,187.7
60,4484.0,39.6,61.5,106.8,148.0,164.9
61,4560.0,36.2,46.5,64.2,126.9,158.2
62,4636.0,71.5,109.0,136.2,150.6,163.2
63,4712.0,66.0,89.9,116.4,130.8,151.9
64,4788.0,56.9,97.3,115.7,136.6,150.9
65,4864.0,64.9,107.9,131.5,152.9,174.0
66,4940.0,93.7,106.1,119.2,137.2,160.6
67,5016.0,57.8,81.4,102.3,120.1,153.7
