N,MB,min,avgMin,avg,avgMax,max
1,0.0,417.6,613.0,818.7,872.9,932.7
2,76.0,433.6,659.0,815.1,876.7,947.3
3,152.0,753.0,804.2,854.4,886.7,920.2
4,228.0,419.2,642.3,843.9,881.3,944.1
5,304.0,713.6,779.7,855.4,882.1,911.6
6,380.0,429.2,670.8,798.3,883.4,924.6
7,456.0,425.3,666.4,842.2,908.5,996.9
8,532.0,757.0,849.7,876.5,903.7,943.4
9,608.0,425.0,645.5,832.7,885.3,942.2
10,684.0,755.0,823.4,868.4,902.1,937.5
11,760.0,420.0,657.7,821.9,876.1,920.9
12,836.0,738.1,744.0,849.5,884.8,938.4
13,912.0,760.8,829.1,854.6,874.1,903.5
14,988.0,403.8,748.9,832.2,886.9,930.0
15,1064.0,704.3,834.1,869.2,901.0,932.7
16,1140.0,427.8,672.4,833.4,876.3,930.7
17,1216.0,632.8,760.7,834.5,888.9,942.3
18,1292.0,420.9,791.1,833.7,900.9,965.3
19,1368.0,421.0,767.6,865.1,899.9,941.6
20,1444.0,619.6,730.2,832.7,880.2,917.2
21,1520.0,431.9,795.4,888.1,953.4,988.4
22,1596.0,611.8,747.2,838.5,879.6,930.3
23,1672.0,421.5,807.0,843.5,896.0,934.7
24,1748.0,427.1,701.5,828.8,867.8,914.9
25,1824.0,566.2,797.3,866.4,905.4,945.7
26,1900.0,416.0,647.1,823.6,868.7,924.4
27,1976.0,732.6,789.7,851.4,899.1,951.7
28,2052.0,401.2,705.4,814.0,877.2,952.1
29,2128.0,421.7,787.3,874.0,909.5,932.3
30,2204.0,709.4,785.8,843.6,888.1,940.7
31,2280.0,425.0,696.7,847.2,885.5,925.8
32,2356.0,749.3,818.3,851.2,892.9,937.0
33,2432.0,244.8,520.3,756.5,873.1,934.9
34,2508.0,418.0,791.8,874.2,914.3,961.3
35,2584.0,738.6,832.5,859.2,890.8,961.1
36,2660.0,433.4,689.1,810.5,852.1,893.7
37,2736.0,766.4,858.8,869.0,894.8,942.2
38,2812.0,422.6,666.7,818.5,865.5,920.7
39,2888.0,429.6,662.3,840.1,896.1,944.8
40,2964.0,720.1,808.1,863.7,888.9,936.4
41,3040.0,410.5,701.0,827.8,858.9,915.0
42,3116.0,755.7,818.7,849.6,868.4,892.6
43,3192.0,415.9,596.7,807.2,863.7,907.8
44,3268.0,434.7,593.9,841.3,896.3,920.7
45,3344.0,757.2,852.4,886.7,912.4,968.3
46,3420.0,418.7,682.8,824.8,866.3,927.4
47,3496.0,641.4,755.5,855.8,893.9,933.0
48,3572.0,418.0,777.4,871.4,911.5,943.8
49,3648.0,432.2,660.9,820.4,862.9,913.3
50,3724.0,664.8,755.8,854.0,899.1,933.7
51,3800.0,421.3,687.5,844.6,910.9,981.3
52,3876.0,581.6,737.1,843.2,892.8,934.7
53,3952.0,418.9,741.0,848.6,884.7,942.1
54,4028.0,406.9,722.6,836.1,874.5,944.2
55,4104.0,599.0,743.8,853.3,903.0,960.4
56,4180.0,291.3,511.4,840.0,898.5,930.4
57,4256.0,607.5,747.4,842.5,889.2,943.2
58,4332.0,414.9,627.7,841.2,889.3,929.3
59,4408.0,391.9,742.5,858.0,904.2,946.5
60,4484.0,685.1,758.9,844.7,888.8,948.6
61,4560.0,398.7,670.7,840.9,876.0,930.9
62,4636.0,765.1,875.0,886.4,919.3,946.7
63,4712.0,416.9,688.0,855.4,892.1,938.0
64,4788.0,775.1,788.7,875.1,896.8,939.6
65,4864.0,566.0,683.3,823.8,864.9,943.0
66,4940.0,418.4,708.8,852.8,896.3,943.7
67,5016.0,773.6,834.3,860.5,890.3,930.2
68,5092.0,418.7,705.3,814.3,873.5,912.0
69,5168.0,722.0,750.6,861.6,888.3,907.6
70,5244.0,725.1,805.6,855.8,886.2,932.3
71,5320.0,422.6,691.9,810.9,876.6,961.4
72,5396.0,641.5,750.6,851.2,893.8,950.3
73,5472.0,412.1,682.2,850.5,896.4,927.5
74,5548.0,754.4,811.4,848.6,868.9,906.9
75,5624.0,421.9,763.8,806.5,861.2,897.0
76,5700.0,392.8,537.5,786.3,857.2,919.8
77,5776.0,591.3,760.2,871.8,958.7,997.0
78,5852.0,420.4,709.2,848.9,891.4,925.7
79,5928.0,665.0,783.4,893.0,946.6,993.9
80,6004.0,436.5,741.9,803.2,870.6,916.2
81,6080.0,350.0,449.7,752.1,861.4,928.5
82,6156.0,247.9,347.2,438.6,472.4,490.5
83,6232.0,255.1,386.5,461.1,486.8,507.9
84,6308.0,389.0,440.6,468.5,487.9,499.6
85,6384.0,389.8,447.7,469.8,482.0,499.7
86,6460.0,233.0,401.7,453.4,470.9,497.8
87,6536.0,204.9,368.5,441.3,475.2,501.7
88,6612.0,351.6,432.9,459.2,477.5,496.6
89,6688.0,411.3,461.1,477.6,488.7,505.1
90,6764.0,456.0,467.1,473.3,478.0,484.8
91,6840.0,335.1,399.8,455.6,476.9,499.0
92,6916.0,228.6,401.7,450.5,468.7,482.7
93,6992.0,463.0,467.6,474.1,481.6,494.9
